AverageReturn,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
-4.5404035,1000.0,-4.5404035,1250,0.008904321,0.12739258,8.530824,-0.021284018,10.650408,-0.018993496894836426,1,2048,1.6501753870397806,2048
-28.1321815,1000.0,-28.1321815,1259,0.008184563,0.111083984,8.529627,-0.02116577,17.953644,0.017252087593078613,2,4096,3.2777169360779226,4096
-49.56501616666666,1000.0,-49.56501616666666,1137,0.007863138,0.10966797,8.528883,-0.020288948,17.63567,0.013958752155303955,3,6144,5.079360491130501,6144
-50.27398925,1000.0,-50.27398925,1089,0.009627577,0.1394043,8.522581,-0.025294092,13.439413,0.04707461595535278,4,8192,6.959265621146187,8192
-50.2361176,1000.0,-50.2361176,997,0.009510169,0.13964844,8.490595,-0.023358922,10.4529505,0.06534367799758911,5,10240,9.013641281984746,10240
-47.240303833333336,1000.0,-47.240303833333336,997,0.009140528,0.12998047,8.460005,-0.024009986,12.254328,0.09356343746185303,6,12288,11.069650324992836,12288
-42.492344,1000.0,-42.492344,1191,0.008774516,0.1270996,8.425151,-0.02091582,9.191889,0.13057339191436768,7,14336,12.790210242150351,14336
-30.070302937500003,1000.0,-30.070302937500003,1252,0.009308783,0.13691406,8.371562,-0.02394515,4.707148,0.10366559028625488,8,16384,14.426513598067686,16384
-21.29251733333334,1000.0,-21.29251733333334,1251,0.01046631,0.15571289,8.30953,-0.027577499,6.7751207,0.20260769128799438,9,18432,16.06443508900702,18432
-11.941304800000006,1000.0,-11.941304800000006,1145,0.012092421,0.17280273,8.269248,-0.027093241,4.8733606,0.21061331033706665,10,20480,17.854365847073495,20480
-6.848145045454552,1000.0,-6.848145045454552,1187,0.009794667,0.14135742,8.2626295,-0.024898859,5.8161592,0.2052866816520691,11,22528,19.580417442135513,22528
-1.0808647500000024,1000.0,-1.0808647500000024,826,0.01089575,0.15395507,8.233961,-0.02811713,4.3916035,0.18463236093521118,12,24576,22.058345680125058,24576
1.0163343076923055,1000.0,1.0163343076923055,1197,0.009485319,0.13671875,8.210241,-0.02602004,7.208876,0.123568594455719,13,26624,23.770176105201244,26624
5.884955499999998,1000.0,5.884955499999998,1092,0.007881111,0.107861325,8.191553,-0.02180602,5.438089,0.2039507031440735,14,28672,25.64658180717379,28672
11.150416866666664,1000.0,11.150416866666664,1037,0.011902328,0.17021485,8.162112,-0.028598871,6.795565,0.1689234972000122,15,30720,27.621158031979576,30720
17.180686781249996,1000.0,17.180686781249996,751,0.012296239,0.18510742,8.117006,-0.032006703,5.5813093,0.25308507680892944,16,32768,30.34933779016137,32768
22.206641529411762,1000.0,22.206641529411762,1170,0.010686196,0.1578125,8.068768,-0.027953496,6.2370934,0.1689026951789856,17,34816,32.10065541602671,34816
27.888287583333334,1000.0,27.888287583333334,1222,0.011093495,0.16225585,8.040895,-0.026361758,6.015477,0.22735846042633057,18,36864,33.77698950911872,36864
30.225512736842102,1000.0,30.225512736842102,1254,0.0100810565,0.14643554,8.028434,-0.026795482,8.6064205,0.1461392641067505,19,38912,35.410751949995756,38912
37.6320941,1000.0,37.6320941,1230,0.011334189,0.16474609,8.016713,-0.032624375,5.585885,0.23794299364089966,20,40960,37.07599379308522,40960
46.086972125,1000.0,46.086972125,1259,0.010136356,0.15219727,7.977887,-0.027290633,7.866706,0.21164536476135254,21,43008,38.70298959501088,43008
57.9062684,1000.0,57.9062684,1178,0.011277546,0.16591796,7.9206038,-0.02954863,9.896509,0.2400180697441101,22,45056,40.44217202719301,45056
70.334847,1000.0,70.334847,1186,0.009565762,0.14038086,7.868693,-0.027873252,7.5374284,0.25623470544815063,23,47104,42.16932281013578,47104
81.23530637500001,1000.0,81.23530637500001,932,0.013235005,0.19648437,7.8261824,-0.033168066,6.732338,0.24832159280776978,24,49152,44.36636231117882,49152
97.23334085,1000.0,97.23334085,1281,0.012374225,0.18925782,7.78398,-0.03408556,8.91801,0.2340143918991089,25,51200,45.96667132899165,51200
109.15740742500002,1000.0,109.15740742500002,1273,0.012907004,0.18637696,7.72435,-0.032511506,8.761207,0.2448166012763977,26,53248,47.575342232128605,53248
117.6478728,1000.0,117.6478728,1209,0.011114922,0.1637207,7.651787,-0.030810485,8.403389,0.2168383002281189,27,55296,49.26983283320442,55296
129.832574975,1000.0,129.832574975,1244,0.0088333,0.12573242,7.594593,-0.027990397,11.052517,0.1903364062309265,28,57344,50.91695226216689,57344
138.5819611,1000.0,138.5819611,1271,0.012394636,0.18535157,7.537,-0.033848993,9.89758,0.20113128423690796,29,59392,52.52867336617783,59392
147.45209690000002,1000.0,147.45209690000002,1233,0.011376625,0.16777344,7.5109506,-0.030324632,10.183328,0.19086015224456787,30,61440,54.18972720019519,61440
154.9934844,1000.0,154.9934844,1168,0.00942519,0.13735351,7.5031257,-0.02584829,10.813974,0.2420281171798706,31,63488,55.94381359918043,63488
166.52926985,1000.0,166.52926985,1275,0.011156244,0.16098633,7.472316,-0.032692306,14.082355,0.27114808559417725,32,65536,57.550441057188436,65536
178.732786175,1000.0,178.732786175,1289,0.011184364,0.1616211,7.4373693,-0.031256545,15.978831,0.2862898111343384,33,67584,59.139559149043635,67584
195.8798473,1000.0,195.8798473,1127,0.011998792,0.1800293,7.4064703,-0.03301407,19.072552,0.17876535654067993,34,69632,60.9565840351861,69632
