AverageReturn,Entropy,EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,ev_tdlam_before,meankl,optimgain,surrgain
101.09526,8.567053,1000.0,101.09526,2,83,42.839606285095215,83000,0.0,0.3400176167488098,0.0054381173,0.04703287,0.04703287
106.66831,8.560087,1000.0,106.66831,3,86,43.89976716041565,86000,0.0,0.26581907272338867,0.005885235,0.047388215,0.047388215
113.08352,8.549322,1000.0,113.08352,2,88,44.9419379234314,88000,0.0,0.6832738518714905,0.0056014536,0.04848238,0.04848238
116.46749,8.540305,1000.0,116.46749,2,90,45.992719411849976,90000,0.0,0.6408264935016632,0.0059144134,0.05137649,0.05137649
122.53606,8.526453,1000.0,122.53606,2,92,47.036105155944824,92000,0.0,0.26012301445007324,0.006088684,0.049281586,0.049281586
126.68938,8.529943,1000.0,126.68938,2,94,48.08967733383179,94000,0.0,0.3521314263343811,0.0052532693,0.04731773,0.04731773
132.30641,8.527983,1000.0,132.30641,2,96,49.16320514678955,96000,0.0,0.5991722643375397,0.006355118,0.053579878,0.053579878
137.30281,8.5287,1000.0,137.30281,2,98,50.21886658668518,98000,0.0,0.39890915155410767,0.0054220026,0.05063113,0.05063113
141.47075,8.538078,1000.0,141.47075,2,100,51.27011227607727,100000,0.0,0.40091991424560547,0.005601324,0.05169861,0.05169861
144.23265,8.517664,1000.0,144.23265,2,102,52.336549282073975,102000,0.0,0.501728892326355,0.0054210657,0.047266576,0.047266576
150.51707,8.518467,1000.0,150.51707,2,104,53.37515068054199,104000,0.0,0.5568224489688873,0.005947762,0.05066493,0.05066493
159.82999,8.511724,1000.0,159.82999,2,106,54.4048867225647,106000,0.0,0.5749793946743011,0.006013739,0.050162807,0.050162807
166.08789,8.4771805,1000.0,166.08789,2,108,55.45929837226868,108000,0.0,0.5169316530227661,0.0065940144,0.053688616,0.053688616
173.58723,8.449311,1000.0,173.58723,2,110,56.525763273239136,110000,0.0,0.4452781081199646,0.0054967105,0.048579585,0.048579585
179.85548,8.429292,1000.0,179.85548,2,112,57.564284324645996,112000,0.0,0.3991297483444214,0.0059211235,0.05258477,0.05258477
189.68335,8.432106,1000.0,189.68335,2,114,58.61188340187073,114000,0.0,0.6851617395877838,0.005616879,0.053411186,0.053411186
