AverageReturn,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
-100.2814025,1000.0,-100.2814025,1659,0.009105138,0.1274414,8.517564,-0.021964738,18.728912,0.024100005626678467,1,2048,1.241924835019745,2048
-62.94416025,1000.0,-62.94416025,1726,0.009273674,0.13447265,8.496541,-0.021463852,10.51662,0.023354291915893555,2,4096,2.429215431911871,4096
-57.81157233333334,1000.0,-57.81157233333334,1773,0.0083634285,0.12192383,8.465006,-0.020839814,7.3837028,0.04077434539794922,3,6144,3.5845514639513567,6144
-45.574709375,1000.0,-45.574709375,1749,0.008616391,0.12055664,8.4693575,-0.020893969,3.5040226,0.05905759334564209,4,8192,4.755810554954223,8192
-38.142150699999995,1000.0,-38.142150699999995,1728,0.008137951,0.11899414,8.467668,-0.020585561,6.4729414,0.14078587293624878,5,10240,5.941167261917144,10240
-29.468570999999997,1000.0,-29.468570999999997,1794,0.0076346523,0.11015625,8.451902,-0.022403989,10.359325,0.12538325786590576,6,12288,7.083191339974292,12288
-18.335119857142853,1000.0,-18.335119857142853,1750,0.009616716,0.13598633,8.420926,-0.025998607,11.17148,0.17428922653198242,7,14336,8.253900449955836,14336
-12.98741475,1000.0,-12.98741475,1779,0.00906712,0.13125,8.373573,-0.023156699,6.97016,0.22097259759902954,8,16384,9.40541808900889,16384
-7.761820999999999,1000.0,-7.761820999999999,1777,0.007283951,0.10053711,8.334487,-0.021486733,12.11307,0.16101467609405518,9,18432,10.558090951992199,18432
-9.640176449999998,1000.0,-9.640176449999998,1746,0.00923855,0.13535157,8.318057,-0.024477495,8.838011,0.14744329452514648,10,20480,11.731795863015577,20480
-8.680401909090907,1000.0,-8.680401909090907,1759,0.012339956,0.18061523,8.299448,-0.030216578,4.1712084,0.18405616283416748,11,22528,12.896217326982878,22528
-2.746772666666667,1000.0,-2.746772666666667,1797,0.010614136,0.15180664,8.279245,-0.024735559,6.0649385,0.3143717050552368,12,24576,14.036095162970014,24576
0.7154534615384609,1000.0,0.7154534615384609,1771,0.010285405,0.15551758,8.225539,-0.026283827,6.3685584,0.3340659737586975,13,26624,15.192636045976542,26624
7.354183642857142,1000.0,7.354183642857142,1744,0.009181971,0.13217774,8.181291,-0.023585822,3.687683,0.28000640869140625,14,28672,16.36716159596108,28672
7.5347738999999985,1000.0,7.5347738999999985,1786,0.010831536,0.1650879,8.164148,-0.028456077,10.1710005,0.16942739486694336,15,30720,17.51459353498649,30720
15.381349,1000.0,15.381349,1809,0.009534699,0.13515624,8.135824,-0.025948707,5.7562523,0.316531777381897,16,32768,18.646960378973745,32768
20.701861970588237,1000.0,20.701861970588237,1741,0.011334307,0.1671875,8.119133,-0.03084223,5.833508,0.3134574294090271,17,34816,19.823976611020043,34816
27.14121052777778,1000.0,27.14121052777778,1758,0.0097498465,0.14296874,8.100892,-0.02753053,6.853112,0.26078343391418457,18,36864,20.98969660291914,36864
28.957453947368425,1000.0,28.957453947368425,1842,0.010305219,0.15463868,8.066568,-0.028941873,6.827423,0.07702642679214478,19,38912,22.10198662301991,38912
38.669143825,1000.0,38.669143825,1743,0.00940044,0.13398437,8.04281,-0.026578348,6.1816077,0.2673203945159912,20,40960,23.277629137970507,40960
51.44433839999999,1000.0,51.44433839999999,1793,0.011972389,0.17875977,8.020272,-0.031106045,6.4167585,0.32882028818130493,21,43008,24.420349813997746,43008
64.8534918,1000.0,64.8534918,1746,0.009999426,0.14838867,7.9938455,-0.029052887,8.879014,0.2292385697364807,22,45056,25.59374471497722,45056
77.093321125,1000.0,77.093321125,1788,0.010638985,0.1605957,7.9716806,-0.030070346,9.028986,0.35031092166900635,23,47104,26.73989101895131,47104
90.26572615,1000.0,90.26572615,1737,0.011458389,0.17529297,7.940586,-0.03329441,10.614083,0.11344242095947266,24,49152,27.919584495015442,49152
98.82195300000001,1000.0,98.82195300000001,1734,0.010463017,0.15625,7.922185,-0.029418895,8.967008,0.22330456972122192,25,51200,29.100933464011177,51200
109.97985964999998,1000.0,109.97985964999998,1741,0.011945718,0.18349609,7.878791,-0.03270744,10.960764,0.2793920636177063,26,53248,30.27764937991742,53248
123.26538372499999,1000.0,123.26538372499999,1751,0.012460044,0.17856446,7.8455186,-0.031519942,10.990596,0.2215491533279419,27,55296,31.447681924910285,55296
133.408423775,1000.0,133.408423775,1765,0.011674024,0.17148438,7.8196197,-0.03233,12.453408,0.22750842571258545,28,57344,32.60868177993689,57344
150.91939269999997,1000.0,150.91939269999997,1742,0.011491174,0.17392579,7.779504,-0.032288782,13.418833,0.2966000437736511,29,59392,33.784495973959565,59392
169.67691407499998,1000.0,169.67691407499998,1744,0.013578506,0.18413086,7.7213125,-0.035612885,18.401316,0.21759158372879028,30,61440,34.95945928292349,61440
186.60434919999997,1000.0,186.60434919999997,1741,0.015260799,0.22109374,7.6538477,-0.0384654,21.431028,0.28736281394958496,31,63488,36.13628941797651,63488
204.6430269,1000.0,204.6430269,1720,0.011108892,0.16674805,7.5863633,-0.032532986,23.953043,0.3429332375526428,32,65536,37.327405326999724,65536
221.84919889999998,1000.0,221.84919889999998,1734,0.010769899,0.16171876,7.5430984,-0.03185997,23.448154,0.23577338457107544,33,67584,38.5087196289096,67584
242.407465425,1000.0,242.407465425,1754,0.011170729,0.1565918,7.499968,-0.033296138,25.716217,0.2325979471206665,34,69632,39.676861419924535,69632
