AverageReturn,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
-92.27300349999999,1000.0,-92.27300349999999,1705,0.009092255,0.13681641,8.501379,-0.023531493,14.762766,-0.014604330062866211,1,2048,1.2089657670003362,2048
-37.46467025,1000.0,-37.46467025,1824,0.008170485,0.11416016,8.476312,-0.019510768,9.257501,0.00501018762588501,2,4096,2.332043315982446,4096
-34.43091166666667,1000.0,-34.43091166666667,1820,0.009117346,0.122851565,8.451117,-0.023848139,12.529612,0.0173872709274292,3,6144,3.4578530229628086,6144
-43.538051875,1000.0,-43.538051875,1810,0.0080321925,0.11352539,8.436273,-0.020951826,23.675726,0.04943162202835083,4,8192,4.589835750986822,8192
-29.723565400000002,1000.0,-29.723565400000002,1748,0.008151995,0.114550784,8.4064455,-0.019998979,12.864858,0.07296097278594971,5,10240,5.762158677971456,10240
-24.3619355,1000.0,-24.3619355,1745,0.009137062,0.12861328,8.384936,-0.023374762,8.759374,0.10684114694595337,6,12288,6.936484083998948,12288
-12.641999142857145,1000.0,-12.641999142857145,1756,0.008706524,0.12739258,8.390186,-0.022080597,9.383116,0.12191486358642578,7,14336,8.10320963896811,14336
-11.0700215625,1000.0,-11.0700215625,1748,0.008992331,0.12963867,8.401814,-0.022584362,11.42108,0.11234277486801147,8,16384,9.275256311986595,16384
-17.135978388888887,1000.0,-17.135978388888887,1746,0.009981296,0.14926758,8.408654,-0.0268819,4.527856,0.07199251651763916,9,18432,10.448748359980527,18432
-11.5976343,1000.0,-11.5976343,1754,0.009745598,0.14550781,8.385692,-0.023498414,8.103783,0.16931462287902832,10,20480,11.617038611962926,20480
-11.191713318181819,1000.0,-11.191713318181819,1755,0.010029513,0.14326172,8.356385,-0.02443819,4.969397,0.17208385467529297,11,22528,12.784183334966656,22528
-6.554738749999999,1000.0,-6.554738749999999,1742,0.009051388,0.13364258,8.349064,-0.024577497,6.906461,0.2153254747390747,12,24576,13.960288322996348,24576
-4.315514346153845,1000.0,-4.315514346153845,1740,0.010443605,0.15268555,8.343039,-0.026153853,4.8758974,0.23430085182189941,13,26624,15.13768997695297,26624
1.419965928571429,1000.0,1.419965928571429,1770,0.011953089,0.17558594,8.31993,-0.029189661,9.034047,0.25999915599823,14,28672,16.29517631296767,28672
7.805970866666667,1000.0,7.805970866666667,1757,0.009849415,0.14277343,8.286005,-0.026050499,5.589842,0.19884079694747925,15,30720,17.461400653992314,30720
9.250216875000001,1000.0,9.250216875000001,1738,0.011545075,0.17392579,8.253019,-0.028549334,5.6319723,0.2827608585357666,16,32768,18.640027311979793,32768
11.775106029411766,1000.0,11.775106029411766,1746,0.010084948,0.14677735,8.232962,-0.025578871,8.050187,0.19473445415496826,17,34816,19.813510512991343,34816
15.965510305555556,1000.0,15.965510305555556,1768,0.010546103,0.15375976,8.201609,-0.029680988,3.5644593,0.25537383556365967,18,36864,20.972347596951295,36864
22.81168702631579,1000.0,22.81168702631579,1749,0.0091143,0.12944336,8.169915,-0.024924256,7.88083,0.13123130798339844,19,38912,22.143609979946632,38912
28.935942525,1000.0,28.935942525,1730,0.010594828,0.15751953,8.161016,-0.027881846,8.212182,0.20390725135803223,20,40960,23.328089941991493,40960
38.73447645,1000.0,38.73447645,1736,0.009426361,0.13427734,8.173509,-0.024512302,11.913416,0.27987444400787354,21,43008,24.50831396796275,43008
45.3492256,1000.0,45.3492256,1727,0.010792103,0.15234375,8.185083,-0.029311767,8.053949,0.22983723878860474,22,45056,25.694359768996947,45056
56.981244649999994,1000.0,56.981244649999994,1767,0.011263546,0.17070313,8.174996,-0.031212678,6.7722626,0.27973413467407227,23,47104,26.853511378983967,47104
67.03756382499999,1000.0,67.03756382499999,1755,0.011169554,0.16674805,8.152883,-0.030331379,8.569593,0.24160951375961304,24,49152,28.020802879997063,49152
80.04935362500001,1000.0,80.04935362500001,1814,0.011575059,0.16762695,8.089424,-0.031942964,9.279209,0.211713969707489,25,51200,29.15050714596873,51200
88.63656974999999,1000.0,88.63656974999999,1750,0.01048868,0.16108398,8.036795,-0.03141895,11.554243,0.2102230191230774,26,53248,30.32129020098364,53248
99.735047525,1000.0,99.735047525,1744,0.011638547,0.17041016,7.992299,-0.032040574,11.169998,0.2749548554420471,27,55296,31.49618572194595,55296
113.26243209999998,1000.0,113.26243209999998,1804,0.010731122,0.16269532,7.9352546,-0.030891111,11.294422,0.2869248390197754,28,57344,32.632198870996945,57344
127.420770475,1000.0,127.420770475,1759,0.012373073,0.18276367,7.8791285,-0.03334489,11.502767,0.25918567180633545,29,59392,33.79707171197515,59392
139.86151312500002,1000.0,139.86151312500002,1762,0.009391741,0.13481446,7.850005,-0.026512805,16.279522,0.33198684453964233,30,61440,34.95949365198612,61440
155.605716125,1000.0,155.605716125,1790,0.010005203,0.14482422,7.8425994,-0.029456208,14.928926,0.2638278603553772,31,63488,36.10437452496262,63488
168.08818839999998,1000.0,168.08818839999998,1720,0.011577731,0.17597656,7.7995095,-0.029573381,17.793163,0.24869227409362793,32,65536,37.295286866952665,65536
182.16591884999997,1000.0,182.16591884999997,1737,0.011293491,0.16230468,7.754251,-0.031123165,16.521746,0.24680942296981812,33,67584,38.47618670295924,67584
196.328575525,1000.0,196.328575525,1733,0.010459152,0.1540039,7.7010636,-0.030847177,20.229286,0.34209752082824707,34,69632,39.65866965497844,69632
