# {"t_start": 1562620947.446888, "env_id": "HalfCheetah-v2"} 
r,l,t
-1.167511,1000,2.885402
-39.88163,1000,3.359772
-124.027164,1000,5.096756
-7.509869,1000,5.572134
-29.860263,1000,6.392806
-0.670324,1000,6.858908
42.081098,1000,7.683634
-35.898608,1000,8.157221
24.8067,1000,8.975619
-51.635626,1000,9.443556
-13.549276,1000,10.270907
-54.813156,1000,10.747977
-77.1632,1000,11.588989
-35.036247,1000,12.057558
-98.054032,1000,12.905503
-62.750162,1000,13.370758
-24.141357,1000,14.216445
-42.327236,1000,14.685934
65.892152,1000,15.511407
-112.373878,1000,15.975763
-14.378127,1000,16.821464
-61.479965,1000,17.300225
-31.258707,1000,18.167541
16.244035,1000,18.643109
-40.319537,1000,19.503047
-54.892081,1000,19.972228
90.826132,1000,20.814622
59.871868,1000,21.278867
31.450373,1000,22.12688
14.63614,1000,22.594937
-12.341232,1000,23.469708
-91.216732,1000,23.942439
-38.363651,1000,24.831598
-4.750016,1000,25.307521
11.90756,1000,26.184808
22.561144,1000,26.647007
-49.196425,1000,27.47927
65.73407,1000,27.957753
32.662401,1000,28.843728
84.133386,1000,29.311975
81.30884,1000,30.167588
-4.124744,1000,30.635792
67.611433,1000,31.108563
-21.636389,1000,31.969148
14.745117,1000,32.434472
51.979711,1000,33.334818
36.353212,1000,33.806527
98.195213,1000,34.656492
59.262923,1000,35.133604
38.043812,1000,35.991888
18.057233,1000,36.462021
-24.931557,1000,37.306664
-9.780538,1000,37.777282
-10.836857,1000,38.660967
129.785485,1000,39.136923
76.70102,1000,39.98869
72.223937,1000,40.455144
64.555396,1000,41.285704
147.607417,1000,41.749905
37.808739,1000,42.610499
-7.005355,1000,43.071532
57.686081,1000,43.923176
90.6245,1000,44.392156
58.245365,1000,45.228832
25.942787,1000,45.697417
119.642435,1000,46.587608
115.118801,1000,47.054634
63.859768,1000,47.898299
70.666696,1000,48.374483
23.887095,1000,49.241219
95.492376,1000,49.717264
61.039703,1000,50.560536
93.867535,1000,51.036191
113.260925,1000,51.905637
204.632355,1000,52.375562
91.731296,1000,53.294852
-3.515746,1000,53.774954
101.444872,1000,54.62384
161.257675,1000,55.1021
122.640742,1000,55.959994
94.403554,1000,56.440384
133.227406,1000,57.309017
99.778003,1000,57.786019
249.46505,1000,58.640618
163.432146,1000,59.11049
107.172696,1000,59.574901
142.576777,1000,60.435351
106.792552,1000,60.905341
88.600943,1000,61.751394
117.424617,1000,62.2268
100.806769,1000,63.15685
89.151125,1000,63.627001
208.381186,1000,64.534506
46.762501,1000,65.004519
5.901908,1000,65.866995
145.106211,1000,66.34283
137.381724,1000,67.157169
160.241175,1000,67.625271
108.878362,1000,68.482455
169.412906,1000,68.962933
107.995885,1000,69.840601
156.116589,1000,70.312253
172.158514,1000,71.173376
130.348457,1000,71.640692
128.292863,1000,72.499398
187.059799,1000,72.972014
104.119994,1000,73.797133
143.034592,1000,74.268384
141.78005,1000,75.152206
75.196295,1000,75.639948
123.609873,1000,76.478849
252.513285,1000,76.946121
147.78338,1000,77.809063
50.303187,1000,78.277165
196.428922,1000,79.137412
82.773162,1000,79.615826
212.685238,1000,80.494723
172.566359,1000,80.968949
133.255951,1000,81.850558
186.566479,1000,82.327205
190.517951,1000,83.19
226.076723,1000,83.665183
171.470906,1000,84.505729
221.210669,1000,84.969894
186.156714,1000,85.819185
192.618281,1000,86.289716
212.264236,1000,87.159835
-19.899343,1000,87.634741
173.786129,1000,88.105144
209.587821,1000,88.937078
216.507436,1000,89.410987
202.262119,1000,90.257298
238.908787,1000,90.732084
283.274744,1000,91.588898
248.795227,1000,92.061986
235.02541,1000,92.9113
174.567433,1000,93.387226
255.429422,1000,94.243221
185.332759,1000,94.71764
302.982236,1000,95.586571
228.695442,1000,96.06332
291.919806,1000,96.955673
233.663605,1000,97.429451
258.896635,1000,98.262398
270.74374,1000,98.734651
283.995879,1000,99.682629
238.02748,1000,100.15035
280.935135,1000,100.984575
293.61079,1000,101.465005
329.453925,1000,102.320756
267.707537,1000,102.791977
341.717244,1000,103.651583
227.801415,1000,104.127938
304.180805,1000,104.979472
258.866976,1000,105.45391
248.094275,1000,106.283767
253.624658,1000,106.756171
237.122437,1000,107.61996
304.299863,1000,108.090592
328.228459,1000,108.92853
292.099356,1000,109.411471
284.611294,1000,110.244232
307.634146,1000,110.710968
294.691231,1000,111.588527
326.161756,1000,112.059945
309.34292,1000,112.930423
324.631305,1000,113.409147
282.519149,1000,114.364608
288.836386,1000,114.837209
248.408671,1000,115.743739
366.73881,1000,116.212448
349.364024,1000,116.681282
273.794725,1000,117.536793
362.71258,1000,118.009308
289.34527,1000,118.886929
271.999525,1000,119.359795
372.346302,1000,120.210664
334.715114,1000,120.67924
368.371172,1000,121.553064
368.183232,1000,122.022286
389.311078,1000,122.869253
290.293585,1000,123.343494
360.043386,1000,124.169817
269.595664,1000,124.639876
394.741971,1000,125.515266
359.477832,1000,125.991071
398.51348,1000,126.809738
403.985096,1000,127.2843
388.253955,1000,128.107708
-66.698498,1000,128.581424
340.646394,1000,129.533336
458.345795,1000,129.999774
272.564107,1000,130.864248
376.66745,1000,131.338404
346.214961,1000,132.206073
385.531265,1000,132.673297
426.972275,1000,133.530051
448.795132,1000,134.007989
391.293992,1000,134.862489
450.055444,1000,135.336926
347.101305,1000,136.16998
408.604539,1000,136.641115
370.362265,1000,137.48843
404.667909,1000,137.958069
371.069282,1000,138.794574
372.445483,1000,139.273258
509.978411,1000,140.142686
-53.076318,1000,140.624433
465.810868,1000,141.499318
402.666872,1000,141.967237
396.736942,1000,142.79688
375.931576,1000,143.26768
436.914441,1000,144.124768
409.308919,1000,144.598574
61.527443,1000,145.081293
429.204483,1000,145.936195
324.219877,1000,146.40016
305.737873,1000,147.246886
406.493696,1000,147.719339
460.908076,1000,148.583987
421.97921,1000,149.058272
402.33024,1000,149.927719
456.07529,1000,150.405447
457.472154,1000,151.281395
389.260089,1000,151.759404
514.565911,1000,152.636826
436.744297,1000,153.112143
157.021365,1000,153.959536
488.216665,1000,154.424062
494.384175,1000,155.304008
452.198324,1000,155.768978
471.624641,1000,156.652056
358.957624,1000,157.125136
484.695021,1000,157.944208
481.769393,1000,158.423667
410.632912,1000,159.286166
467.169317,1000,159.759471
454.980528,1000,160.634024
435.876472,1000,161.110597
434.746137,1000,161.960888
399.357999,1000,162.429108
486.222973,1000,163.287273
423.443505,1000,163.756769
348.140092,1000,164.628278
388.408942,1000,165.10631
478.547022,1000,165.987881
403.480066,1000,166.462284
527.164187,1000,167.31967
525.56677,1000,167.795293
527.848658,1000,168.662726
495.375259,1000,169.136012
512.355799,1000,169.989795
483.716864,1000,170.461383
434.345692,1000,171.330958
503.309313,1000,171.808496
503.388602,1000,172.276415
507.975539,1000,173.134681
415.893063,1000,173.608161
480.766435,1000,174.458398
454.260521,1000,174.934865
546.211227,1000,175.815449
540.318175,1000,176.286805
456.766669,1000,177.125599
474.102293,1000,177.596307
473.449722,1000,178.463113
527.444119,1000,178.932592
591.690851,1000,179.769935
548.92366,1000,180.241205
483.112858,1000,181.081708
209.179362,1000,181.557504
556.889903,1000,182.429031
582.635836,1000,182.906327
490.770788,1000,183.758823
567.875766,1000,184.233835
515.001151,1000,185.102528
591.167345,1000,185.578949
563.646659,1000,186.459814
547.920314,1000,186.926288
577.5459,1000,187.765743
549.239648,1000,188.238147
507.108303,1000,189.087986
520.916974,1000,189.562905
557.461878,1000,190.51835
570.266183,1000,190.994671
531.152216,1000,191.859426
588.274423,1000,192.336852
487.029085,1000,193.210449
543.784348,1000,193.681074
548.691699,1000,194.530488
584.12166,1000,195.00859
613.015439,1000,195.865602
547.298106,1000,196.339233
547.300091,1000,197.195793
466.515933,1000,197.666135
559.985945,1000,198.557216
511.54239,1000,199.040562
488.481082,1000,199.916082
584.54197,1000,200.386761
558.874125,1000,200.864312
470.67986,1000,201.729474
549.980566,1000,202.206485
651.90519,1000,203.067824
552.293821,1000,203.530304
542.180076,1000,204.401078
568.160927,1000,204.8708
565.058765,1000,205.785687
591.114138,1000,206.259463
567.067167,1000,207.133841
525.893504,1000,207.601223
591.08096,1000,208.432333
570.269044,1000,208.906266
581.211397,1000,209.768994
576.055983,1000,210.248101
531.727919,1000,211.107533
561.54828,1000,211.586276
570.178093,1000,212.45241
551.964255,1000,212.922227
578.635469,1000,213.795712
576.506378,1000,214.269441
671.962573,1000,215.152348
597.260517,1000,215.623499
614.368001,1000,216.475895
592.28768,1000,216.94235
638.481783,1000,217.806907
