AverageReturn,MeanRew,SimRew-MeanRew,Time-MeanRew,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
-22.23749115,-9.73169,-0.15665853,0.0006197926044464111,1000.0,-22.23749115,664,0.010911954,0.1572754,8.419092,-0.025952205,4.7341495,0.020916104316711426,10,20480,27.5641684809234,20480
27.178466274999998,140.09042,1.4236941,0.0007410752296447754,1000.0,27.178466274999998,497,0.01075592,0.16113281,8.129829,-0.027850265,7.2342405,0.21827155351638794,20,40960,68.10859457310289,40960
129.7360125,272.68515,3.8229382,0.0007990346431732178,1000.0,129.7360125,469,0.01059146,0.15664062,7.758901,-0.029489595,10.517527,0.24900370836257935,30,61440,113.27419901802205,61440
263.44940794999997,426.24527,7.3474674,0.0008782835960388183,1000.0,263.44940794999997,499,0.013614026,0.1944336,7.3652816,-0.035962775,16.283276,0.2839515805244446,40,81920,160.19373450800776,81920
389.035851275,577.834,11.214339,0.0008824521541595458,1000.0,389.035851275,455,0.011670512,0.17626953,7.044374,-0.03362035,25.595562,0.3390916585922241,50,102400,208.70795683399774,102400
519.662926175,723.0674,16.90463,0.0014018155097961426,1000.0,519.662926175,469,0.013380848,0.19536133,6.7636833,-0.034762673,46.865517,0.31543272733688354,60,122880,255.23347045690753,122880
711.9286595000001,883.83875,23.606678,0.0009708727836608887,1000.0,711.9286595000001,493,0.01442281,0.20493165,6.4241524,-0.036686152,70.061874,0.4442373514175415,70,143360,309.33182053500786,143360
850.108243725,1000.3251,30.987581,0.00091426420211792,1000.0,850.108243725,460,0.011352883,0.16279297,6.059207,-0.020789346,40.43614,0.48410481214523315,80,163840,360.68057559407316,163840
975.14228725,926.7982,38.59158,0.0008701449871063232,1000.0,975.14228725,501,0.016967217,0.22963867,5.865881,-0.026731025,84.789925,0.6021660566329956,90,184320,409.4650727789849,184320
1093.15129435,998.444,46.472603,0.0009622143745422363,1000.0,1093.15129435,445,0.014132142,0.19233398,5.6183076,-0.02521582,72.05986,0.4176812171936035,100,204800,458.11711293901317,204800
1179.32314975,1320.3547,57.56707,0.0009663805961608886,1000.0,1179.32314975,468,0.019197814,0.2532715,5.3566585,-0.021617983,87.05644,0.6512874364852905,110,225280,509.6223345249891,225280
1311.2976591,1349.5264,67.79531,0.0008723408699035644,1000.0,1311.2976591,502,0.019895056,0.25581056,5.1342793,-0.015950497,79.70633,0.7651187479496002,120,245760,558.9387685959227,245760
1343.504470025,1339.6605,75.58834,0.0009223053932189941,1000.0,1343.504470025,428,0.02027158,0.25844726,5.02192,-0.019453311,62.496788,0.41855013370513916,130,266240,609.394382853061,266240
1375.293479025,1405.5582,85.15851,0.000912543249130249,1000.0,1375.293479025,511,0.019202441,0.23530273,4.8420024,-0.017461045,67.981964,0.5471771061420441,140,286720,658.0529355220497,286720
1431.8391793750002,1489.9882,91.77293,0.0009333540916442871,1000.0,1431.8391793750002,431,0.022346525,0.2873047,4.734602,-0.014026676,64.01239,0.7147124111652374,150,307200,707.589120032033,307200
1478.1829722,1551.7305,97.31749,0.0009406603336334228,1000.0,1478.1829722,524,0.03761869,0.37490234,4.6609845,-0.011942234,60.57437,0.6602717936038971,160,327680,755.1846789920237,327680
1515.603121775,1540.2057,105.52705,0.0008878945827484131,1000.0,1515.603121775,512,0.035903655,0.36098632,4.5722394,-0.014277133,54.66455,0.5751496255397797,170,348160,803.2352129679639,348160
1526.9203602000002,1522.374,112.78815,0.0009075599670410156,1000.0,1526.9203602000002,511,0.031123027,0.33999023,4.462113,-0.018224504,44.19535,0.7489539086818695,180,368640,851.8193687170278,368640
1543.488852975,1604.0532,114.43358,0.0008621082782745361,1000.0,1543.488852975,507,0.035696212,0.37192383,4.4046426,-0.014716053,32.435097,0.8445025682449341,190,389120,899.0389457929414,389120
1574.444248675,1607.8792,120.657776,0.0008277191638946534,1000.0,1574.444248675,492,0.030516842,0.3182617,4.3533874,-0.015693532,24.72943,0.9373129233717918,200,409600,946.139895461034,409600
1613.4646049750002,1648.3389,123.03998,0.0008291341304779053,1000.0,1613.4646049750002,548,0.045699812,0.41269532,4.3135023,-0.016833467,37.971085,0.8053536266088486,210,430080,990.6150902148802,430080
1611.651348575,1674.0676,126.11582,0.0008937590122222901,1000.0,1611.651348575,505,0.032729074,0.36083984,4.2013984,-0.014572561,27.13522,0.9128943309187889,220,450560,1035.2154317279346,450560
1635.4542849000002,1667.5463,130.73677,0.0008305542469024659,1000.0,1635.4542849000002,544,0.02688771,0.31420898,4.1836576,-0.008301593,27.053894,0.9388942234218121,230,471040,1081.713371470105,471040
1696.6603736999998,1724.1412,132.2837,0.0008733620643615723,1000.0,1696.6603736999998,558,0.016000379,0.2178711,3.9632213,-0.016312923,20.125086,0.9676028415560722,240,491520,1126.6349976160564,491520
1717.398317675,1715.8646,136.80824,0.0008105895519256592,1000.0,1717.398317675,544,0.06489689,0.457959,3.756242,-0.019499812,30.07816,0.8422926068305969,250,512000,1171.5649831020273,512000
1726.537243725,1732.615,139.12787,0.0007966674327850342,1000.0,1726.537243725,531,0.019516049,0.24716797,3.5687916,-0.0205991,16.15602,0.9753567762672901,260,532480,1217.6740718279034,532480
1706.3307011750003,1738.7227,140.12921,0.0008150891304016113,1000.0,1706.3307011750003,554,0.025547808,0.29453126,3.5088725,-0.013803201,29.526157,0.9330331310629845,270,552960,1262.6125611111056,552960
