AverageReturn,MeanRew,SimRew-MeanRew,Time-MeanRew,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,sil_samples
1523.40867525,1373.2588,126.87755,0.0008675448417663574,1000.0,1523.40867525,386,0.018583681,0.24238281,3.648314,-0.020576699,12.975321,0.9849305767565966,270,552960,1581.994188142009,552960,477.0
1561.455939525,1581.0847,126.771614,0.0009199790954589844,1000.0,1561.455939525,385,0.023315515,0.29614258,3.4796467,-0.026137229,10.112449,0.9814879652112722,280,573440,1638.7565358669963,573440,477.0
1588.170279225,1616.2539,128.29048,0.0008671838760375977,1000.0,1588.170279225,414,0.018777817,0.24858399,3.3261096,-0.021760073,15.311579,0.9763929583132267,290,593920,1695.8415799092036,593920,481.0
1605.9082250749998,1605.3901,132.97438,0.0009055651187896729,1000.0,1605.9082250749998,389,0.025194367,0.3165039,3.2516422,-0.024276784,14.56117,0.965238481760025,300,614400,1752.8724203810561,614400,483.0
1616.049585475,1291.5398,130.74997,0.0008870068073272705,1000.0,1616.049585475,367,0.02542966,0.28374022,3.1295469,-0.02780824,9.525176,0.9845410408452153,310,634880,1810.2936236590613,634880,481.0
1625.378925725,1650.6273,133.32726,0.0009217201709747314,1000.0,1625.378925725,403,0.030678669,0.3371094,3.0394828,-0.026867207,12.956549,0.9635491631925106,320,655360,1867.0668718041852,655360,484.0
1641.46479975,1655.7351,136.94518,0.0009119308471679687,1000.0,1641.46479975,418,0.023936344,0.292334,2.9617777,-0.027366642,8.803766,0.9885263619944453,330,675840,1925.155011269031,675840,472.0
1659.7185342999996,1660.3033,140.0933,0.0010909284591674804,1000.0,1659.7185342999996,391,0.033231772,0.35825196,2.85622,-0.028083062,14.4886265,0.9609068371355534,340,696320,1982.0746003631502,696320,461.0
1679.8361036499998,1671.0287,143.23787,0.0009419513702392578,1000.0,1679.8361036499998,421,0.03149893,0.35463867,2.710195,-0.029546654,9.940045,0.9704426750540733,350,716800,2039.4281090851873,716800,470.0
1671.162187,1718.8574,143.16333,0.0009267333984375,1000.0,1671.162187,407,0.029816221,0.3331543,2.6296144,-0.024937257,7.945853,0.9893151493743062,360,737280,2097.4360953290015,737280,460.0
1680.3956888500002,1738.8108,143.90831,0.000929776382446289,1000.0,1680.3956888500002,388,0.0228629,0.27612305,2.6521642,-0.020744573,9.95935,0.9847291251644492,370,757760,2155.634891779162,757760,474.0
1709.0257632,1710.5691,148.00526,0.0008833115577697754,1000.0,1709.0257632,419,0.04248063,0.3536133,2.5714588,-0.021918198,15.795779,0.9635602794587612,380,778240,2212.5758113490883,778240,473.0
