AverageReturn,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,sil_samples
-85.1339835,1000.0,-85.1339835,1349,0.008682019,0.12089844,8.503019,-0.023245305,8.429801,-0.061759233474731445,1,2048,1.5180105280014686,2048,383.0
-59.8172575,1000.0,-59.8172575,1448,0.0073809847,0.10683594,8.510569,-0.019145595,16.477972,-0.012607812881469727,2,4096,2.9319940130226314,4096,457.0
-46.47561483333334,1000.0,-46.47561483333334,1427,0.009432414,0.13676758,8.520285,-0.024627682,5.100454,-0.03131997585296631,3,6144,4.3671818660222925,6144,433.0
-40.754697875,1000.0,-40.754697875,1437,0.009218954,0.13579102,8.511678,-0.022214422,5.1043043,0.06274241209030151,4,8192,5.791914809029549,8192,410.0
-39.36757179999999,1000.0,-39.36757179999999,1434,0.009856513,0.14609376,8.496653,-0.027896011,12.039591,0.003322005271911621,5,10240,7.220025214017369,10240,430.0
-23.931755999999996,1000.0,-23.931755999999996,1439,0.0076177544,0.10473633,8.478082,-0.021758564,12.515134,0.13080459833145142,6,12288,8.642993896035478,12288,474.0
-16.58883607142857,1000.0,-16.58883607142857,1443,0.008378161,0.11713867,8.445231,-0.022387924,16.777496,0.08228832483291626,7,14336,10.061759744014125,14336,440.0
-18.008597562500004,1000.0,-18.008597562500004,1418,0.008269345,0.118457034,8.41563,-0.020380847,7.533615,0.08983123302459717,8,16384,11.505939954018686,16384,421.0
-14.24982966666667,1000.0,-14.24982966666667,1442,0.009857086,0.14082031,8.38896,-0.025564592,16.98817,0.12944889068603516,9,18432,12.925971771008335,18432,435.0
-11.837164300000001,1000.0,-11.837164300000001,1414,0.010051142,0.15244141,8.370608,-0.025619244,9.308342,0.1455233097076416,10,20480,14.374373416008893,20480,446.0
-2.8088508181818197,1000.0,-2.8088508181818197,1409,0.0103758015,0.1494629,8.365052,-0.025689483,5.5866256,0.22240424156188965,11,22528,15.827571258007083,22528,456.0
-3.189404333333337,1000.0,-3.189404333333337,1433,0.01012251,0.15249023,8.386316,-0.026873108,11.912832,0.1055535078048706,12,24576,17.256178502982948,24576,460.0
-1.5551646923076956,1000.0,-1.5551646923076956,1437,0.009661796,0.14428711,8.36936,-0.024933422,5.688513,0.2372133731842041,13,26624,18.6812415390159,26624,448.0
4.056899678571425,1000.0,4.056899678571425,1444,0.0108997505,0.16611329,8.319213,-0.029263172,6.434861,0.24250906705856323,14,28672,20.099089109979104,28672,462.0
6.92264693333333,1000.0,6.92264693333333,1438,0.010085971,0.15297851,8.290352,-0.026567837,5.2494326,0.23490005731582642,15,30720,21.523463346995413,30720,437.0
9.730549968749997,1000.0,9.730549968749997,1426,0.010137474,0.14819336,8.2652445,-0.027137652,8.885248,0.1671847701072693,16,32768,22.959313614002895,32768,447.0
10.221462294117645,1000.0,10.221462294117645,1399,0.010426177,0.1621582,8.25424,-0.026384136,6.900458,0.2625631093978882,17,34816,24.423251100990456,34816,446.0
13.720852666666666,1000.0,13.720852666666666,1386,0.011286738,0.16166992,8.216618,-0.027874807,6.8561974,0.18458306789398193,18,36864,25.900166888022795,36864,455.0
18.287834,1000.0,18.287834,1414,0.011631528,0.17939453,8.167997,-0.031102484,5.0157976,0.2971418499946594,19,38912,27.348591797985137,38912,455.0
29.523552925,1000.0,29.523552925,1413,0.010810178,0.1631836,8.135958,-0.030021071,8.051981,0.2919440269470215,20,40960,28.797457868000492,40960,448.0
38.40600875,1000.0,38.40600875,1431,0.009824208,0.14140625,8.1020155,-0.028323958,6.265656,0.3569287657737732,21,43008,30.228551412990782,43008,465.0
46.67162485,1000.0,46.67162485,1393,0.009950785,0.14589843,8.091946,-0.026582737,7.7529974,0.26457273960113525,22,45056,31.69809532200452,45056,465.0
56.552428150000004,1000.0,56.552428150000004,1408,0.011164004,0.1584961,8.085482,-0.027053699,6.873723,0.27465832233428955,23,47104,33.15286592603661,47104,468.0
63.97479545000001,1000.0,63.97479545000001,1425,0.011886333,0.16743164,8.048301,-0.029535968,7.3736243,0.25956737995147705,24,49152,34.589882549014874,49152,459.0
75.232297275,1000.0,75.232297275,1364,0.012008664,0.16899414,7.9967575,-0.031553395,6.6705847,0.2713676691055298,25,51200,36.090932868013624,51200,473.0
83.84361035,1000.0,83.84361035,1428,0.011852445,0.171875,7.9494796,-0.030299688,8.036659,0.2826952338218689,26,53248,37.52495104202535,53248,474.0
96.798238775,1000.0,96.798238775,1400,0.0100620035,0.1475586,7.913615,-0.030509591,13.943125,0.36739015579223633,27,55296,38.98771818599198,55296,460.0
111.74841725000002,1000.0,111.74841725000002,1426,0.012973467,0.18930665,7.88128,-0.03482357,12.168545,0.266360342502594,28,57344,40.42350303201238,57344,478.0
121.07006145,1000.0,121.07006145,1415,0.012027433,0.17983398,7.85131,-0.031929363,8.955086,0.2971962094306946,29,59392,41.871167426987085,59392,475.0
133.63888255,1000.0,133.63888255,1409,0.013033526,0.18637696,7.807115,-0.032766424,11.4591,0.3324797749519348,30,61440,43.326540907029994,61440,466.0
141.223930575,1000.0,141.223930575,1412,0.0089069065,0.1283203,7.7909675,-0.027009312,14.660428,0.2653350830078125,31,63488,44.77662610303378,63488,469.0
157.060297575,1000.0,157.060297575,1420,0.0119683985,0.17749023,7.763785,-0.031324666,11.981459,0.18517106771469116,32,65536,46.219119146990124,65536,470.0
170.4689753,1000.0,170.4689753,1419,0.011623905,0.1699707,7.7342935,-0.03114197,12.137388,0.29631125926971436,33,67584,47.66221017198404,67584,473.0
182.770786425,1000.0,182.770786425,1383,0.010460045,0.14985351,7.6971717,-0.030668354,13.069609,0.22722667455673218,34,69632,49.142476260021795,69632,481.0
195.398629425,1000.0,195.398629425,1392,0.011459921,0.16674805,7.6246605,-0.03245357,17.081509,0.20386475324630737,35,71680,50.61396104597952,71680,483.0
212.88447457499996,1000.0,212.88447457499996,1394,0.012290226,0.17451172,7.574061,-0.034239046,18.133907,0.19722938537597656,36,73728,52.08340831298847,73728,485.0
229.940746825,1000.0,229.940746825,1418,0.011768183,0.1709961,7.5258346,-0.032909073,20.857857,0.22740685939788818,37,75776,53.527921036991756,75776,482.0
242.45225492499998,1000.0,242.45225492499998,1411,0.011902805,0.17631836,7.4999566,-0.032666378,17.147633,0.21130812168121338,38,77824,54.979167159006465,77824,491.0
255.286844175,1000.0,255.286844175,1358,0.013265426,0.19350585,7.4597588,-0.03745392,22.381424,0.25472795963287354,39,79872,56.48660088703036,79872,473.0
273.33681579999995,1000.0,273.33681579999995,1375,0.012851906,0.1930664,7.430879,-0.034701712,28.705692,0.359155535697937,40,81920,57.975834993994795,81920,482.0
298.2083989,1000.0,298.2083989,1419,0.012642711,0.18745117,7.38544,-0.03535023,27.281448,0.2519811987876892,41,83968,59.41869427799247,83968,484.0
315.690266,1000.0,315.690266,1402,0.0127993105,0.18842773,7.3279977,-0.035412215,30.397436,0.339100182056427,42,86016,60.878936523979064,86016,485.0
332.63404452500004,1000.0,332.63404452500004,1402,0.011729358,0.16660157,7.2867594,-0.03537882,26.58553,0.27943098545074463,43,88064,62.339787887991406,88064,483.0
351.44834180000004,1000.0,351.44834180000004,1424,0.013047256,0.19101563,7.2707567,-0.035669085,37.19648,0.30477964878082275,44,90112,63.77798623999115,90112,495.0
361.19098665,1000.0,361.19098665,1417,0.010398638,0.14980468,7.25451,-0.030907417,29.809086,0.27747541666030884,45,92160,65.2230333990301,92160,490.0
378.971353025,1000.0,378.971353025,1422,0.013232115,0.18813476,7.233757,-0.034133185,31.966497,0.3238592743873596,46,94208,66.66319214098621,94208,491.0
393.39618559999997,1000.0,393.39618559999997,1400,0.01071202,0.1586914,7.205144,-0.032333698,42.88228,0.3055369257926941,47,96256,68.12590709800133,96256,494.0
409.005799625,1000.0,409.005799625,1408,0.015745258,0.22475585,7.16346,-0.03822703,43.40714,0.27089428901672363,48,98304,69.58020571398083,98304,504.0
