AverageReturn,MeanRew,SimRew-MeanRew,Time-MeanRew,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
-20.56058755,242.10815,0.03912238613648851,0.1736332115650177,1000.0,-20.56058755,211,0.010309711,0.14799805,8.385351,-0.024323959,12.0289,0.2072073221206665,10,20480,32.46134230704047,20480
36.6726036,399.0833,17.935759977405095,0.17465185661315918,1000.0,36.6726036,848,0.010669815,0.15371093,8.129754,-0.029857194,6.64284,0.21384119987487793,20,40960,933.6293532189447,40960
185.9812861,384.4375,52.7204150943294,0.1747386360168457,1000.0,185.9812861,841,0.011706619,0.17802735,7.809007,-0.032293882,24.03431,0.24075764417648315,30,61440,1847.369103210047,61440
376.54468855,616.2586,55.40405521630374,0.17441997776031495,1000.0,376.54468855,835,0.011784719,0.17011718,7.433563,-0.030691221,35.59829,0.2712910771369934,40,81920,2768.8793176158797,81920
570.7912153999999,1192.7299,-4.6316447499800235,0.1759376298904419,1000.0,570.7912153999999,834,0.011066286,0.16113281,7.026634,-0.024868129,58.69502,0.41438883543014526,50,102400,3693.5123630510643,102400
747.763389625,1380.8102,21.575415522635797,0.17462676658630372,1000.0,747.763389625,842,0.012221524,0.17216797,6.6580086,-0.031463753,88.14493,0.4932519197463989,60,122880,4631.292264368851,122880
927.3799256,1441.5248,14.247665771437536,0.1745429790496826,1000.0,927.3799256,824,0.014524663,0.20649414,6.41578,-0.032401733,98.568924,0.4697129726409912,70,143360,5562.126169305062,143360
1056.4861528000001,906.93396,-58.23693099147962,0.17436907153129577,1000.0,1056.4861528000001,833,0.014273487,0.19931641,6.033953,-0.023661664,106.821434,0.4062874913215637,80,163840,6493.341815287946,163840
1141.6092043,650.5672,-19.489178978034943,0.17472464928627013,1000.0,1141.6092043,807,0.015147967,0.2131836,5.75439,-0.020452823,102.38901,0.5130990445613861,90,184320,7425.028803733876,184320
1251.2157576000002,1177.3087,7.089437775865567,0.3141311815261841,1000.0,1251.2157576000002,822,0.018147299,0.24311523,5.48896,-0.020189501,99.780334,0.6129595339298248,100,204800,8358.494405848905,204800
1234.340829725,216.10323,257.30603278752284,0.35586966609954834,1000.0,1234.340829725,400,0.01829983,0.23339844,5.331258,-0.01738588,92.20273,0.6700581610202789,110,225280,10048.854184479918,225280
1266.0604485,514.66187,241.8579321996728,0.35263397850990297,1000.0,1266.0604485,518,0.024643075,0.28085938,5.2841716,-0.019468406,91.784225,0.7858171463012695,120,245760,11939.06350967288,245760
1414.0033355750002,798.18933,289.2443416542237,0.357913031244278,1000.0,1414.0033355750002,396,0.027642388,0.32548827,5.117158,-0.0152759105,86.45952,0.8118365854024887,130,266240,13820.094553810079,266240
1467.0987571750002,1653.998,144.35307352817617,0.358276477432251,1000.0,1467.0987571750002,425,0.02143295,0.26958007,5.0165515,-0.012389617,78.273575,0.8498848080635071,140,286720,15726.539523066953,286720
1487.2075263,1678.7607,152.72147526513405,0.3562518340587616,1000.0,1487.2075263,396,0.035207324,0.37163085,4.8666778,-0.020202521,75.82864,0.44853752851486206,150,307200,17634.435605130857,307200
1500.9220871500002,1785.8235,127.06613137593945,0.3574623050689697,1000.0,1500.9220871500002,397,0.029497128,0.32475585,4.8678885,-0.01794998,63.41474,0.5498609244823456,160,327680,19536.57897991687,327680
1521.523366725,1731.7819,185.40631834204905,0.35842033066749573,1000.0,1521.523366725,395,0.01856214,0.2364746,4.738041,-0.01295526,47.996403,0.8452059030532837,170,348160,21444.860212055035,348160
1512.9955894,1819.2777,151.50785756127982,0.35855495347976685,1000.0,1512.9955894,394,0.014992991,0.20219727,4.6488447,-0.009925343,42.015903,0.8775174394249916,180,368640,23357.453083646018,368640
1522.129312125,1687.5797,152.3939041659241,0.35775659523010256,1000.0,1522.129312125,396,0.02476644,0.2944336,4.521515,-0.01620011,42.875515,0.9047683551907539,190,389120,25270.975857442943,389120
1551.9969210000002,1611.0647,90.12653744114628,0.35864335856437685,1000.0,1551.9969210000002,387,0.016565524,0.22216797,4.468735,-0.012788321,36.24826,0.8740554004907608,200,409600,27178.54323244188,409600
1559.302352225,1401.0867,162.29521298408986,0.35779281182289124,1000.0,1559.302352225,411,0.034237374,0.34594727,4.3710666,-0.009761814,49.714912,0.78762187063694,210,430080,29089.064529853873,430080
1578.325125975,945.17676,2142.395116513869,0.3587500504016876,1000.0,1578.325125975,397,0.028568128,0.3269531,4.2839737,-0.01784471,26.982822,0.8971377238631248,220,450560,30998.439716235967,450560
1618.2074242,-5.7526073,208.5203323118859,0.3568848752498627,1000.0,1618.2074242,427,0.022488978,0.26757812,4.0857086,-0.01593458,26.0807,0.9383134059607983,230,471040,32912.412867635954,471040
1632.1366555,1422.2771,983.9354484315179,0.35720156769752504,1000.0,1632.1366555,424,0.019682478,0.246875,3.8833256,-0.021166537,34.477024,0.9769273027777672,240,491520,34815.50668107299,491520
1654.0506467999999,1667.9105,242.1246322761945,0.35962569937705996,1000.0,1654.0506467999999,418,0.034758247,0.35107422,3.765231,-0.017051317,42.218014,0.8556333929300308,250,512000,36722.14023655793,512000
1689.8419261999995,1650.7117,275.01567480667586,0.3585308351516724,1000.0,1689.8419261999995,434,0.024641976,0.29707032,3.6273696,-0.02207217,29.814259,0.8828472644090652,260,532480,38638.7060053919,532480
