AverageReturn,Entropy,EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SilSamples,TimeElapsed,TimestepsSoFar,entloss,ev_tdlam_before,meankl,optimgain,surrgain
104.59458,7.1835675,1000.0,104.59458,2,77,172.0,66.0565128326416,77000,0.0,0.7419334053993225,0.009030122,0.05785992,0.05785992
104.748,7.148681,1000.0,104.748,2,79,221.0,67.79275488853455,79000,0.0,0.6436930298805237,0.009033494,0.057161607,0.057161607
108.83793,7.11365,1000.0,108.83793,2,81,200.0,69.47755694389343,81000,0.0,0.7946571111679077,0.009002907,0.058591705,0.058591705
112.92445,7.078707,1000.0,112.92445,2,83,183.0,71.16885280609131,83000,0.0,0.6109418869018555,0.008984527,0.053110607,0.053110607
121.80611,7.0438557,1000.0,121.80611,3,86,182.0,72.8983678817749,86000,0.0,0.6619308590888977,0.008914119,0.058466498,0.058466498
132.83414,7.0089197,1000.0,132.83414,2,88,207.0,74.58973574638367,88000,0.0,0.36194783449172974,0.008886004,0.05857243,0.05857243
139.92278,6.974027,1000.0,139.92278,2,90,163.0,76.29667258262634,90000,0.0,0.7980063706636429,0.009209514,0.06020144,0.06020144
154.29483,6.938845,1000.0,154.29483,2,92,171.0,78.0311439037323,92000,0.0,0.46155232191085815,0.009122087,0.062498204,0.062498204
162.21611,6.903809,1000.0,162.21611,2,94,155.0,79.75184273719788,94000,0.0,0.7422221601009369,0.008895829,0.057684734,0.057684734
173.35237,6.868894,1000.0,173.35237,2,96,208.0,81.44728088378906,96000,0.0,0.264687716960907,0.008958883,0.060501754,0.060501754
173.4365,6.833949,1000.0,173.4365,2,98,267.0,83.12282586097717,98000,0.0,0.21685969829559326,0.009077396,0.060396995,0.060396995
182.49081,6.79907,1000.0,182.49081,2,100,272.0,84.81855797767639,100000,0.0,0.3315994143486023,0.008772254,0.060461346,0.060461346
196.01689,6.763914,1000.0,196.01689,2,102,188.0,86.52396273612976,102000,0.0,0.6536155641078949,0.008667853,0.05886952,0.05886952
207.28374,6.7289762,1000.0,207.28374,2,104,206.0,88.21416974067688,104000,0.0,0.420505166053772,0.008847551,0.057168107,0.057168107
217.35034,6.6929913,1000.0,217.35034,2,106,219.0,89.92160272598267,106000,0.0,0.6090455651283264,0.0088378815,0.057688482,0.057688482
221.6296,6.657994,1000.0,221.6296,2,108,238.0,91.68790888786316,108000,0.0,0.7333513498306274,0.0091534145,0.061399378,0.061399378
229.7613,6.622795,1000.0,229.7613,2,110,195.0,93.3820595741272,110000,0.0,0.31908684968948364,0.008893925,0.062276363,0.062276363
238.021,6.5878882,1000.0,238.021,2,112,230.0,95.11623764038086,112000,0.0,0.6939860284328461,0.009077916,0.062018953,0.062018953
227.45248,6.552821,1000.0,227.45248,2,114,229.0,96.85374164581299,114000,0.0,0.7664058804512024,0.008901434,0.061203323,0.061203323
230.19601,6.5176697,1000.0,230.19601,2,116,189.0,98.59727382659912,116000,0.0,0.7791199684143066,0.0088792,0.06403889,0.06403889
239.97798,6.482758,1000.0,239.97798,2,118,168.0,100.30114579200745,118000,0.0,0.6183440387248993,0.008912135,0.063365325,0.063365325
258.70648,6.4479985,1000.0,258.70648,2,120,143.0,101.98292684555054,120000,0.0,0.8663525879383087,0.009175132,0.06631811,0.06631811
265.07376,6.4130883,1000.0,265.07376,2,122,170.0,103.69310164451599,122000,0.0,0.7245586216449738,0.009039437,0.060775165,0.060775165
