AverageReturn,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,sil_samples
-101.213948,1000.0,-101.213948,518,0.008926748,0.12871094,8.501834,-0.020863786,5.900491,-0.011939048767089844,1,2048,3.9527299310138915,2048,328.0
-83.47194175,1000.0,-83.47194175,711,0.0057261037,0.07172851,8.486837,-0.014536547,14.630321,0.008307218551635742,2,4096,6.8325190269970335,4096,442.0
-76.76286233333333,1000.0,-76.76286233333333,735,0.008396074,0.11879883,8.478777,-0.02191608,11.10409,0.026132941246032715,3,6144,9.618282747018384,6144,437.0
-48.419180375,1000.0,-48.419180375,749,0.008487599,0.119140625,8.479235,-0.022890542,15.833548,0.041755735874176025,4,8192,12.350734194013057,8192,463.0
-54.1013963,1000.0,-54.1013963,589,0.009775488,0.14858398,8.458071,-0.027297055,5.6129236,0.06180310249328613,5,10240,15.82852929001092,10240,441.0
-50.161670333333326,1000.0,-50.161670333333326,604,0.008238161,0.12470703,8.435471,-0.02241554,11.702038,0.0883602499961853,6,12288,19.218914280005265,12288,438.0
-48.63715021428572,1000.0,-48.63715021428572,624,0.008941398,0.12778321,8.422045,-0.023911199,10.104414,0.1092231273651123,7,14336,22.49975965899648,14336,437.0
-41.6622249375,1000.0,-41.6622249375,568,0.010626531,0.15439454,8.391703,-0.026144478,6.8375597,0.12417852878570557,8,16384,26.105537007009843,16384,431.0
-33.54794872222222,1000.0,-33.54794872222222,595,0.011350986,0.15917969,8.362931,-0.02736955,6.1021247,0.14922749996185303,9,18432,29.54875320501742,18432,449.0
-26.483279699999997,1000.0,-26.483279699999997,597,0.008461442,0.117773436,8.358931,-0.022392808,6.9407525,0.17656290531158447,10,20480,32.98181786300847,20480,453.0
-19.468369909090907,1000.0,-19.468369909090907,675,0.010471327,0.14907226,8.333245,-0.024761224,3.475755,0.2392483353614807,11,22528,36.01318891401752,22528,465.0
-12.708983541666663,1000.0,-12.708983541666663,735,0.010583122,0.15717773,8.297739,-0.026973134,4.1132736,0.2606034278869629,12,24576,38.800393695011735,24576,458.0
-7.450731538461536,1000.0,-7.450731538461536,576,0.008274987,0.12216797,8.283998,-0.025669184,11.169292,0.1915106177330017,13,26624,42.351549023005646,26624,467.0
-0.8657997142857126,1000.0,-0.8657997142857126,734,0.0105746845,0.15341797,8.266956,-0.024708886,4.5228496,0.2711474895477295,14,28672,45.1415442340076,28672,451.0
5.1819960666666685,1000.0,5.1819960666666685,406,0.009922679,0.14282227,8.232709,-0.026414666,5.593205,0.281011700630188,15,30720,50.179695193015505,30720,467.0
10.69848340625,1000.0,10.69848340625,667,0.010502665,0.15517578,8.226876,-0.026167488,5.1818132,0.3197733163833618,16,32768,53.25117294699885,32768,458.0
15.911958764705885,1000.0,15.911958764705885,542,0.010917596,0.16220704,8.237973,-0.030294418,4.915995,0.17230373620986938,17,34816,57.02782015901175,34816,464.0
20.519569111111114,1000.0,20.519569111111114,580,0.0097714495,0.13911133,8.22405,-0.026102703,5.1451154,0.24647098779678345,18,36864,60.55924207001226,36864,476.0
28.982732921052634,1000.0,28.982732921052634,543,0.009460724,0.13754883,8.198333,-0.025426183,12.094081,0.2409016489982605,19,38912,64.34083139101858,38912,468.0
42.291258875,1000.0,42.291258875,696,0.009361827,0.13115235,8.147601,-0.025862133,6.213235,0.32539618015289307,20,40960,67.29005894900183,40960,472.0
52.085913174999995,1000.0,52.085913174999995,660,0.008994869,0.1265625,8.076698,-0.02482668,7.1155915,0.2894432544708252,21,43008,70.39361996701336,43008,478.0
68.665283825,1000.0,68.665283825,553,0.0111787,0.17387696,8.032923,-0.029512107,7.847684,0.14554589986801147,22,45056,74.0974102409964,45056,480.0
73.2751691,1000.0,73.2751691,545,0.009394528,0.14033203,8.028791,-0.027812729,6.628067,0.15150326490402222,23,47104,77.85773557302309,47104,481.0
84.90480625000001,1000.0,84.90480625000001,616,0.010997853,0.16376953,8.029373,-0.030640397,9.721603,0.298681378364563,24,49152,81.18209135101642,49152,475.0
98.61474515,1000.0,98.61474515,701,0.011890847,0.17460938,8.004587,-0.03149239,8.277065,0.2765478491783142,25,51200,84.11452311501489,51200,472.0
111.31028757499999,1000.0,111.31028757499999,644,0.011036454,0.17119141,7.9558945,-0.032374475,9.673712,0.34986811876296997,26,53248,87.29332683701068,53248,473.0
123.4315925,1000.0,123.4315925,675,0.0105698975,0.15864258,7.894208,-0.030903641,8.626486,0.292494535446167,27,55296,90.32850780300214,55296,475.0
136.10754175,1000.0,136.10754175,537,0.011740497,0.1675293,7.8471146,-0.031546347,9.066278,0.3230299949645996,28,57344,94.14244914901792,57344,472.0
144.28573315,1000.0,144.28573315,643,0.009229546,0.13500977,7.8046484,-0.026452769,11.5548725,0.20279353857040405,29,59392,97.32423153400305,59392,479.0
156.457300475,1000.0,156.457300475,738,0.012724725,0.18691406,7.743013,-0.036234282,11.398096,0.25771158933639526,30,61440,100.0984763050219,61440,489.0
168.23623855,1000.0,168.23623855,588,0.010032555,0.14399414,7.696603,-0.030414175,12.433862,0.2611429691314697,31,63488,103.57758845100761,63488,482.0
176.69681532500002,1000.0,176.69681532500002,502,0.011964137,0.17490235,7.644355,-0.035389133,10.257601,0.291002094745636,32,65536,107.65565365101793,65536,476.0
188.7259069,1000.0,188.7259069,594,0.012550382,0.19174805,7.591372,-0.034893405,14.811798,0.37715965509414673,33,67584,111.1017058690195,67584,476.0
198.56459615,1000.0,198.56459615,516,0.010969854,0.16708985,7.564878,-0.033682924,13.695691,0.1699492335319519,34,69632,115.06773103500018,69632,488.0
212.70993905,1000.0,212.70993905,648,0.013420902,0.19550781,7.5089784,-0.035764996,17.062496,0.3633396625518799,35,71680,118.227877213998,71680,473.0
225.80805867500004,1000.0,225.80805867500004,615,0.011526962,0.17329101,7.472061,-0.032040432,19.490355,0.14296245574951172,36,73728,121.55813852199935,73728,477.0
240.32998225,1000.0,240.32998225,711,0.011926798,0.1817871,7.436342,-0.034800902,22.51811,0.3135199546813965,37,75776,124.43976795699564,75776,483.0
257.14923655,1000.0,257.14923655,649,0.012354854,0.18100587,7.4102125,-0.03360323,22.504858,0.3235304355621338,38,77824,127.59459972401964,77824,487.0
267.64247665000005,1000.0,267.64247665000005,592,0.013717371,0.20395508,7.3720846,-0.037066646,21.100111,0.20239508152008057,39,79872,131.05084491800517,79872,480.0
283.777882575,1000.0,283.777882575,693,0.013481962,0.19829102,7.313594,-0.036126927,28.642603,0.34376752376556396,40,81920,134.0059044439986,81920,486.0
310.31689537499994,1000.0,310.31689537499994,716,0.012774013,0.19179687,7.250525,-0.03586068,29.261688,0.3926200270652771,41,83968,136.86477650000597,83968,487.0
325.40208674999997,1000.0,325.40208674999997,672,0.010929409,0.16166992,7.1799073,-0.031179313,28.929043,0.2790873050689697,42,86016,139.91242282200255,86016,494.0
342.9632397,1000.0,342.9632397,736,0.012141299,0.17841797,7.1173935,-0.036409643,28.573954,0.21251803636550903,43,88064,142.6952531580173,88064,492.0
361.609526175,1000.0,361.609526175,650,0.0127990125,0.18935546,7.0691643,-0.035480388,31.261602,0.18671166896820068,44,90112,145.8446231459966,90112,480.0
376.571459125,1000.0,376.571459125,469,0.01080265,0.16000977,7.02352,-0.031356577,39.293297,0.2520301342010498,45,92160,150.20468011201592,92160,498.0
397.90699909999995,1000.0,397.90699909999995,586,0.013974158,0.20424804,6.975005,-0.036989015,45.426136,0.3977229595184326,46,94208,153.69908382900758,94208,492.0
421.3560778499999,1000.0,421.3560778499999,633,0.01264863,0.18652344,6.944285,-0.03147421,55.00933,0.38679438829421997,47,96256,156.93548239200027,96256,498.0
443.48791359999996,1000.0,443.48791359999996,847,0.012361111,0.17709962,6.9061875,-0.03175038,48.547615,0.3821018934249878,48,98304,159.35327647201484,98304,486.0
467.289736825,1000.0,467.289736825,709,0.012704042,0.18476562,6.8692193,-0.03450925,51.570976,0.28204941749572754,49,100352,162.2430244240095,100352,496.0
488.05003275,1000.0,488.05003275,729,0.013091581,0.19008788,6.8219023,-0.033096045,52.384224,0.33129316568374634,50,102400,165.0519504440017,102400,493.0
510.4194181,1000.0,510.4194181,541,0.014935231,0.21777344,6.752286,-0.04065428,53.47776,0.41540080308914185,51,104448,168.83453377202386,104448,496.0
536.153266275,1000.0,536.153266275,734,0.01346411,0.19594726,6.6865396,-0.033524465,62.342937,0.2572171092033386,52,106496,171.62313445901964,106496,496.0
558.6438241,1000.0,558.6438241,654,0.014801584,0.2065918,6.634889,-0.037171382,56.575672,0.33453792333602905,53,108544,174.75325635500485,108544,495.0
585.898697025,1000.0,585.898697025,622,0.013485543,0.19462891,6.583883,-0.0330284,68.99951,0.40819448232650757,54,110592,178.04512168301153,110592,502.0
604.379239225,1000.0,604.379239225,701,0.010659936,0.15180664,6.566971,-0.029149327,65.597176,0.24947571754455566,55,112640,180.96709551502136,112640,501.0
629.10239395,1000.0,629.10239395,507,0.013236977,0.18984374,6.524021,-0.03359193,63.165527,0.4623192548751831,56,114688,185.00758672700613,114688,499.0
646.3354177499999,1000.0,646.3354177499999,568,0.012898894,0.19404297,6.471709,-0.034275644,60.859394,0.23166245222091675,57,116736,188.62561078800354,116736,500.0
