AverageReturn,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,sil_samples
-64.50394,1000.0,-64.50394,1199,0.00914045,0.13110352,8.510838,-0.022129552,14.068056,-0.005671143531799316,1,2048,1.7067198639269918,2048,161.0
-77.56904225,1000.0,-77.56904225,1239,0.008253549,0.11904297,8.471861,-0.021984112,16.950739,0.023656845092773438,2,4096,3.359341877978295,4096,167.0
-119.46831249999998,1000.0,-119.46831249999998,1274,0.008400195,0.12104492,8.441966,-0.020699652,31.471766,0.05330914258956909,3,6144,4.966371621005237,6144,159.0
-94.49534212500001,1000.0,-94.49534212500001,1263,0.009207359,0.13227539,8.43694,-0.023706216,8.201595,0.031351685523986816,4,8192,6.5873711470048875,8192,200.0
-70.33270990000001,1000.0,-70.33270990000001,1280,0.008474545,0.12177734,8.421289,-0.022367543,12.879309,0.11684596538543701,5,10240,8.187503702938557,10240,209.0
-55.49391900000001,1000.0,-55.49391900000001,1279,0.009731404,0.14213867,8.413719,-0.024287334,5.9604654,0.18156951665878296,6,12288,9.787960139103234,12288,201.0
-48.684813928571444,1000.0,-48.684813928571444,1268,0.009303513,0.13798828,8.377883,-0.024205389,7.9966736,0.00015556812286376953,7,14336,11.402972360141575,14336,201.0
-37.392530875,1000.0,-37.392530875,1278,0.009000012,0.13046876,8.348248,-0.024686491,14.385988,0.17817682027816772,8,16384,13.005041872151196,16384,226.0
-28.41120488888889,1000.0,-28.41120488888889,1277,0.010028825,0.14868164,8.322216,-0.02647401,8.882663,0.2434789538383484,9,18432,14.608167608967051,18432,206.0
-22.434399749999997,1000.0,-22.434399749999997,1264,0.007692645,0.107226565,8.297769,-0.019459562,10.56764,0.1726595163345337,10,20480,16.227740711998194,20480,241.0
-22.235382909090905,1000.0,-22.235382909090905,1270,0.011435473,0.17163086,8.25952,-0.027561516,5.046077,0.28704166412353516,11,22528,17.83988963603042,22528,245.0
-21.722762250000002,1000.0,-21.722762250000002,1283,0.010709645,0.15498047,8.225477,-0.026786795,6.932885,0.38376790285110474,12,24576,19.435888200066984,24576,236.0
-15.754345846153846,1000.0,-15.754345846153846,1259,0.009882221,0.14765625,8.216606,-0.027554015,5.6224165,0.36929821968078613,13,26624,21.061926895054057,26624,248.0
-10.661151571428572,1000.0,-10.661151571428572,1233,0.010218101,0.15571289,8.197961,-0.026747674,7.461038,0.2971927523612976,14,28672,22.722974054981023,28672,245.0
-6.287984633333334,1000.0,-6.287984633333334,1273,0.009769828,0.14111328,8.171271,-0.0242793,7.938539,0.33784687519073486,15,30720,24.332102603046224,30720,273.0
-2.968645718750002,1000.0,-2.968645718750002,1262,0.010946826,0.16274413,8.142716,-0.027418096,5.226219,0.438235342502594,16,32768,25.95455594593659,32768,271.0
0.7706350882352924,1000.0,0.7706350882352924,1268,0.011025363,0.15800782,8.111978,-0.028168473,5.1436944,0.20311790704727173,17,34816,27.569417437072843,34816,257.0
4.813725138888888,1000.0,4.813725138888888,1270,0.011921326,0.17280273,8.06588,-0.029859731,4.94053,0.35600680112838745,18,36864,29.181756979087368,36864,273.0
10.172822526315787,1000.0,10.172822526315787,1273,0.0103808725,0.15097657,8.026467,-0.02711532,7.998183,0.48727452754974365,19,38912,30.790410534944385,38912,279.0
19.387404975,1000.0,19.387404975,1258,0.011888253,0.16640624,8.001848,-0.030441696,5.6311235,0.31610411405563354,20,40960,32.41819948097691,40960,298.0
28.275989375,1000.0,28.275989375,1265,0.009966098,0.14101562,7.9873343,-0.027488276,6.2290764,0.36869150400161743,21,43008,34.03742139809765,43008,291.0
45.686823149999995,1000.0,45.686823149999995,1268,0.0097877495,0.14487305,7.9502897,-0.027018402,7.5777445,0.4030993580818176,22,45056,35.652259110007435,45056,268.0
60.53768775000001,1000.0,60.53768775000001,1270,0.009040462,0.13217774,7.908371,-0.027366346,8.023176,0.3175380229949951,23,47104,37.26431325194426,47104,290.0
66.74090225,1000.0,66.74090225,1276,0.009459337,0.13745117,7.875665,-0.028409328,6.674624,0.2858884930610657,24,49152,38.86896518897265,49152,316.0
70.21726799999999,1000.0,70.21726799999999,1270,0.010525882,0.14907226,7.849517,-0.028595563,8.007822,0.3575313091278076,25,51200,40.48133403714746,51200,325.0
