AverageReturn,Entropy,EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SilSamples,TimeElapsed,TimestepsSoFar,entloss,ev_tdlam_before,meankl,optimgain,surrgain
-61.74007,8.48424,1000.0,-61.74007,2,2,140.0,1.4234552383422852,2000,0.0,-0.03582966327667236,0.0071438774,0.03518248,0.03518248
-77.01364,8.491814,1000.0,-77.01364,2,4,235.0,2.5650651454925537,4000,0.0,0.02289283275604248,0.008093651,0.036675192,0.036675192
-77.70319,8.511827,1000.0,-77.70319,2,6,273.0,3.703653573989868,6000,0.0,0.03835594654083252,0.00741684,0.039848268,0.039848268
-68.8059,8.531223,1000.0,-68.8059,2,8,264.0,4.831541538238525,8000,0.0,0.07279270887374878,0.007219755,0.038925797,0.038925797
-64.047295,8.5558,1000.0,-64.047295,2,10,276.0,5.980673313140869,10000,0.0,0.05235713720321655,0.006509356,0.03579717,0.03579717
-54.20329,8.538331,1000.0,-54.20329,2,12,265.0,7.136163711547852,12000,0.0,0.11708939075469971,0.00711341,0.036646735,0.036646735
-43.187046,8.544104,1000.0,-43.187046,2,14,248.0,8.268893241882324,14000,0.0,0.29668664932250977,0.007305659,0.0411515,0.0411515
-35.162823,8.531889,1000.0,-35.162823,2,16,273.0,9.414244890213013,16000,0.0,0.32220160961151123,0.0065012574,0.038255945,0.038255945
-24.50037,8.540989,1000.0,-24.50037,2,18,261.0,10.601131677627563,18000,0.0,0.442180335521698,0.0077756885,0.045014463,0.045014463
-23.58848,8.554801,1000.0,-23.58848,2,20,240.0,11.727365493774414,20000,0.0,0.4666377902030945,0.006718587,0.04667767,0.04667767
-24.731031,8.560411,1000.0,-24.731031,2,22,289.0,12.85172700881958,22000,0.0,-0.12476539611816406,0.0063212635,0.03690128,0.03690128
-15.62426,8.580299,1000.0,-15.62426,2,24,300.0,14.010118007659912,24000,0.0,0.13851934671401978,0.006111431,0.037850343,0.037850343
-11.638683,8.540146,1000.0,-11.638683,2,26,304.0,15.143402338027954,26000,0.0,0.010178148746490479,0.006492701,0.039990194,0.039990194
-12.109383,8.554091,1000.0,-12.109383,2,28,293.0,16.275102615356445,28000,0.0,0.41379910707473755,0.0069632786,0.04339965,0.04339965
-10.957228,8.541023,1000.0,-10.957228,2,30,310.0,17.42561912536621,30000,0.0,0.16136407852172852,0.006240235,0.038193464,0.038193464
-12.791705,8.559842,1000.0,-12.791705,2,32,338.0,18.540602445602417,32000,0.0,0.28254956007003784,0.006871384,0.043965273,0.043965273
-15.567162,8.55802,1000.0,-15.567162,2,34,320.0,19.64976692199707,34000,0.0,0.04957348108291626,0.0065969154,0.043288887,0.043288887
-12.657713,8.512693,1000.0,-12.657713,2,36,308.0,20.772282600402832,36000,0.0,0.4335904121398926,0.00647868,0.041316368,0.041316368
-11.05034,8.530668,1000.0,-11.05034,2,38,290.0,21.902926921844482,38000,0.0,0.6993708610534668,0.006132423,0.043545235,0.043545235
-11.108249,8.520972,1000.0,-11.108249,2,40,270.0,23.017425298690796,40000,0.0,0.14000236988067627,0.0065045543,0.038825125,0.038825125
-6.0800486,8.513406,1000.0,-6.0800486,3,43,290.0,24.173601388931274,43000,0.0,0.29563218355178833,0.006226426,0.0426576,0.0426576
-0.6720856,8.51309,1000.0,-0.6720856,2,45,260.0,25.324862241744995,45000,0.0,0.4122554659843445,0.0061340607,0.04465273,0.04465273
1.779569,8.504854,1000.0,1.779569,2,47,237.0,26.46625065803528,47000,0.0,0.5462441444396973,0.0061113816,0.04269774,0.04269774
8.323787,8.499155,1000.0,8.323787,2,49,227.0,27.610335111618042,49000,0.0,0.7103864848613739,0.006342521,0.04464097,0.04464097
10.678106,8.501198,1000.0,10.678106,2,51,225.0,28.727311372756958,51000,0.0,0.5094186365604401,0.0063581835,0.042974036,0.042974036
12.710648,8.516365,1000.0,12.710648,2,53,231.0,29.869016885757446,53000,0.0,0.5505046546459198,0.0057308553,0.04335063,0.04335063
15.755402,8.529873,1000.0,15.755402,2,55,195.0,31.036137104034424,55000,0.0,0.5535848140716553,0.006129142,0.04585274,0.04585274
16.878761,8.541641,1000.0,16.878761,2,57,159.0,32.18865656852722,57000,0.0,0.43638479709625244,0.005692899,0.05532315,0.05532315
21.281124,8.546385,1000.0,21.281124,2,59,105.0,33.32001185417175,59000,0.0,0.3521451950073242,0.006144395,0.042664982,0.042664982
23.159796,8.543299,1000.0,23.159796,2,61,181.0,34.449785232543945,61000,0.0,0.17730754613876343,0.0055087013,0.042442113,0.042442113
27.056744,8.542389,1000.0,27.056744,2,63,207.0,35.587913036346436,63000,0.0,0.39109092950820923,0.005956907,0.043965623,0.043965623
22.44169,8.555757,1000.0,22.44169,2,65,204.0,36.74046087265015,65000,0.0,0.4643658995628357,0.0054244217,0.042053834,0.042053834
31.08522,8.592042,1000.0,31.08522,2,67,213.0,37.89604377746582,67000,0.0,0.4082947373390198,0.0054048263,0.04090155,0.04090155
31.701733,8.580079,1000.0,31.701733,2,69,212.0,39.01970887184143,69000,0.0,0.437302827835083,0.005532683,0.044480994,0.044480994
38.049774,8.596838,1000.0,38.049774,2,71,196.0,40.125166177749634,71000,0.0,0.47749513387680054,0.0062892204,0.045227267,0.045227267
43.205105,8.602914,1000.0,43.205105,2,73,182.0,41.26653218269348,73000,0.0,0.6025443971157074,0.005307052,0.043832265,0.043832265
51.14263,8.619298,1000.0,51.14263,2,75,150.0,42.399054288864136,75000,0.0,0.6344423890113831,0.005942249,0.04339354,0.04339354
55.975334,8.631353,1000.0,55.975334,2,77,136.0,43.552552938461304,77000,0.0,0.6596429646015167,0.006060233,0.045111626,0.045111626
56.890312,8.621365,1000.0,56.890312,2,79,199.0,44.712892055511475,79000,0.0,0.4877128005027771,0.0058791735,0.043955237,0.043955237
61.26629,8.585114,1000.0,61.26629,2,81,231.0,45.8770797252655,81000,0.0,-0.011820077896118164,0.005889861,0.041334964,0.041334964
64.50007,8.587981,1000.0,64.50007,2,83,211.0,47.03970003128052,83000,0.0,0.48364150524139404,0.0060494305,0.05183281,0.05183281
74.13283,8.598625,1000.0,74.13283,3,86,220.0,48.20047736167908,86000,0.0,0.5203955471515656,0.0057643615,0.046909094,0.046909094
77.595116,8.6147175,1000.0,77.595116,2,88,203.0,49.3349244594574,88000,0.0,0.4961346387863159,0.0056304056,0.04708599,0.04708599
79.66004,8.601411,1000.0,79.66004,2,90,188.0,50.45581269264221,90000,0.0,0.4590734839439392,0.0063326973,0.052331787,0.052331787
85.51,8.598383,1000.0,85.51,2,92,210.0,51.60071635246277,92000,0.0,0.5558175146579742,0.005240689,0.044974968,0.044974968
85.7112,8.590326,1000.0,85.7112,2,94,248.0,52.74496102333069,94000,0.0,0.2247258424758911,0.0056428667,0.04459869,0.04459869
86.36663,8.595696,1000.0,86.36663,2,96,270.0,53.875664472579956,96000,0.0,0.44617849588394165,0.0058386084,0.05094781,0.05094781
85.17556,8.597678,1000.0,85.17556,2,98,251.0,55.01635432243347,98000,0.0,0.2699102759361267,0.0059492555,0.046891965,0.046891965
85.0438,8.612087,1000.0,85.0438,2,100,237.0,56.178871154785156,100000,0.0,0.4246130585670471,0.005441007,0.055392943,0.055392943
89.92546,8.601228,1000.0,89.92546,2,102,280.0,57.32483172416687,102000,0.0,0.5717618465423584,0.006146079,0.05165895,0.05165895
95.69924,8.601319,1000.0,95.69924,2,104,198.0,58.47009539604187,104000,0.0,0.5048381388187408,0.005674503,0.05100017,0.05100017
96.88566,8.566139,1000.0,96.88566,2,106,261.0,59.605236768722534,106000,0.0,0.39562714099884033,0.0055698575,0.046837687,0.046837687
97.06272,8.570154,1000.0,97.06272,2,108,196.0,60.747135162353516,108000,0.0,0.49871736764907837,0.006390523,0.0547861,0.0547861
99.83056,8.573155,1000.0,99.83056,2,110,215.0,61.884721755981445,110000,0.0,0.755900964140892,0.005433256,0.048333354,0.048333354
100.83415,8.582493,1000.0,100.83415,2,112,260.0,63.02002954483032,112000,0.0,0.48639845848083496,0.0053487523,0.045507215,0.045507215
101.77659,8.604827,1000.0,101.77659,2,114,231.0,64.15343832969666,114000,0.0,0.19937878847122192,0.0053390325,0.04675015,0.04675015
103.50204,8.585313,1000.0,103.50204,2,116,194.0,65.28361654281616,116000,0.0,0.4481160044670105,0.0056787715,0.05089454,0.05089454
105.23635,8.575194,1000.0,105.23635,2,118,223.0,66.4388861656189,118000,0.0,0.41343337297439575,0.0058131465,0.051554143,0.051554143
109.08537,8.56192,1000.0,109.08537,2,120,130.0,67.58995866775513,120000,0.0,0.6527827084064484,0.0060127345,0.051712163,0.051712163
115.10764,8.548341,1000.0,115.10764,2,122,142.0,68.73036170005798,122000,0.0,0.5102880299091339,0.006059489,0.050078496,0.050078496
116.523094,8.550316,1000.0,116.523094,2,124,174.0,69.88982009887695,124000,0.0,0.5098506510257721,0.0058481386,0.053225685,0.053225685
117.34355,8.509874,1000.0,117.34355,2,126,158.0,71.05306696891785,126000,0.0,0.5886824727058411,0.005717393,0.050136343,0.050136343
118.283165,8.499605,1000.0,118.283165,3,129,214.0,72.2052161693573,129000,0.0,0.18103539943695068,0.0056395857,0.048354328,0.048354328
122.49049,8.486108,1000.0,122.49049,2,131,168.0,73.35562658309937,131000,0.0,0.39092451333999634,0.005515042,0.05025445,0.05025445
127.13997,8.472406,1000.0,127.13997,2,133,133.0,74.50633478164673,133000,0.0,0.5568861961364746,0.0059308303,0.052845046,0.052845046
133.37228,8.457182,1000.0,133.37228,2,135,113.0,75.66339588165283,135000,0.0,0.6456076502799988,0.0060814233,0.05657618,0.05657618
137.90714,8.456434,1000.0,137.90714,2,137,108.0,76.82286190986633,137000,0.0,0.6453534960746765,0.0057310592,0.058059443,0.058059443
143.06323,8.446403,1000.0,143.06323,2,139,125.0,77.9523446559906,139000,0.0,0.6325847208499908,0.0058222385,0.055733148,0.055733148
146.16008,8.433111,1000.0,146.16008,2,141,123.0,79.09040307998657,141000,0.0,0.7646475732326508,0.0058389534,0.056770165,0.056770165
150.5452,8.429681,1000.0,150.5452,2,143,178.0,80.22055625915527,143000,0.0,0.6548046171665192,0.0059039085,0.056168307,0.056168307
152.62949,8.428559,1000.0,152.62949,2,145,167.0,81.34852910041809,145000,0.0,0.6044774055480957,0.0058818366,0.05575254,0.05575254
158.86891,8.437745,1000.0,158.86891,2,147,199.0,82.47335362434387,147000,0.0,0.4694439172744751,0.0059448895,0.052381806,0.052381806
160.06084,8.437501,1000.0,160.06084,2,149,221.0,83.59273219108582,149000,0.0,0.34073078632354736,0.0065391306,0.053503826,0.053503826
162.25577,8.426426,1000.0,162.25577,2,151,198.0,84.72843265533447,151000,0.0,0.6311365067958832,0.0061849407,0.054314435,0.054314435
167.74069,8.409697,1000.0,167.74069,2,153,192.0,85.85805916786194,153000,0.0,0.6804590225219727,0.0059454124,0.056506425,0.056506425
171.6206,8.386103,1000.0,171.6206,2,155,153.0,86.98681354522705,155000,0.0,0.718019962310791,0.0060069263,0.057389785,0.057389785
175.97433,8.374179,1000.0,175.97433,2,157,149.0,88.13973546028137,157000,0.0,0.6368902623653412,0.005874463,0.057102196,0.057102196
178.53569,8.366219,1000.0,178.53569,2,159,173.0,89.25579786300659,159000,0.0,0.48394960165023804,0.0056212377,0.05648456,0.05648456
181.38383,8.359367,1000.0,181.38383,2,161,117.0,90.4241931438446,161000,0.0,0.7793945670127869,0.0058083087,0.051690467,0.051690467
188.58237,8.351783,1000.0,188.58237,2,163,101.0,91.57488751411438,163000,0.0,0.6835582256317139,0.0068946057,0.05713685,0.05713685
193.36299,8.323494,1000.0,193.36299,2,165,145.0,92.70399284362793,165000,0.0,0.23193949460983276,0.0060735526,0.05480894,0.05480894
197.55014,8.3143635,1000.0,197.55014,2,167,122.0,93.8943018913269,167000,0.0,0.6225569844245911,0.0059928354,0.057112962,0.057112962
205.39499,8.285158,1000.0,205.39499,2,169,128.0,95.0371642112732,169000,0.0,0.7709781974554062,0.0060985675,0.055692278,0.055692278
213.79239,8.283662,1000.0,213.79239,3,172,117.0,96.19610786437988,172000,0.0,0.7772440165281296,0.0064994683,0.05981547,0.05981547
216.01875,8.28836,1000.0,216.01875,2,174,132.0,97.35402488708496,174000,0.0,0.4891469478607178,0.0056944727,0.055936754,0.055936754
219.36075,8.278814,1000.0,219.36075,2,176,139.0,98.50358510017395,176000,0.0,0.5490437746047974,0.0061013666,0.05582866,0.05582866
224.11557,8.25477,1000.0,224.11557,2,178,140.0,99.66323399543762,178000,0.0,0.6079844236373901,0.006315108,0.057757407,0.057757407
227.073,8.2312,1000.0,227.073,2,180,161.0,100.78515982627869,180000,0.0,0.4847832918167114,0.0059814956,0.056070298,0.056070298
230.68076,8.230981,1000.0,230.68076,2,182,153.0,101.92105031013489,182000,0.0,0.4558624029159546,0.0060726237,0.062457964,0.062457964
236.83109,8.202031,1000.0,236.83109,2,184,169.0,103.05688285827637,184000,0.0,0.7119949460029602,0.006358874,0.057829063,0.057829063
243.93875,8.193514,1000.0,243.93875,2,186,149.0,104.20152759552002,186000,0.0,0.7438078820705414,0.006236458,0.055648,0.055648
251.45615,8.187502,1000.0,251.45615,2,188,137.0,105.37696719169617,188000,0.0,0.6793991327285767,0.006449637,0.057770357,0.057770357
258.52872,8.178615,1000.0,258.52872,2,190,120.0,106.52865839004517,190000,0.0,0.7790969759225845,0.0066106683,0.061480388,0.061480388
267.034,8.179681,1000.0,267.034,2,192,130.0,107.68565797805786,192000,0.0,0.6819842159748077,0.0067403624,0.06297401,0.06297401
271.26752,8.173465,1000.0,271.26752,2,194,130.0,108.82972598075867,194000,0.0,0.25920766592025757,0.006398659,0.058520183,0.058520183
278.12204,8.169671,1000.0,278.12204,2,196,146.0,109.94534420967102,196000,0.0,0.6516005098819733,0.005945814,0.055249587,0.055249587
285.84296,8.161043,1000.0,285.84296,2,198,121.0,111.06597638130188,198000,0.0,0.5787025690078735,0.006644759,0.06132345,0.06132345
290.06366,8.149567,1000.0,290.06366,2,200,143.0,112.19817328453064,200000,0.0,0.37591618299484253,0.00609197,0.05641736,0.05641736
295.26154,8.114477,1000.0,295.26154,2,202,146.0,113.3365535736084,202000,0.0,0.506835550069809,0.006568603,0.065514915,0.065514915
300.4864,8.084501,1000.0,300.4864,2,204,162.0,114.49683952331543,204000,0.0,0.6655094921588898,0.006355753,0.05742333,0.05742333
308.79547,8.067481,1000.0,308.79547,2,206,149.0,115.64228916168213,206000,0.0,0.5840327739715576,0.0062500304,0.05694401,0.05694401
315.23834,8.058837,1000.0,315.23834,2,208,113.0,116.78392767906189,208000,0.0,0.6783406734466553,0.0068771755,0.060438983,0.060438983
322.24283,8.077888,1000.0,322.24283,2,210,133.0,117.90244460105896,210000,0.0,0.6777730882167816,0.0060983663,0.061941773,0.061941773
326.91888,8.057838,1000.0,326.91888,2,212,129.0,119.03456783294678,212000,0.0,0.6648969054222107,0.007274843,0.060392357,0.060392357
329.66046,8.049554,1000.0,329.66046,3,215,123.0,120.18719005584717,215000,0.0,0.5257218778133392,0.0064885914,0.056808632,0.056808632
336.96042,8.049042,1000.0,336.96042,2,217,110.0,121.31065893173218,217000,0.0,0.7043646574020386,0.007040916,0.05807761,0.05807761
345.78973,8.020362,1000.0,345.78973,2,219,116.0,122.43937754631042,219000,0.0,0.7771560251712799,0.006626734,0.059903603,0.059903603
354.0672,7.9986577,1000.0,354.0672,2,221,127.0,123.57734775543213,221000,0.0,0.800931841135025,0.0064304387,0.06022864,0.06022864
364.34503,7.996222,1000.0,364.34503,2,223,131.0,124.7321994304657,223000,0.0,0.8087319433689117,0.0066851364,0.05907222,0.05907222
370.72552,7.950691,1000.0,370.72552,2,225,111.0,125.86239790916443,225000,0.0,0.831696018576622,0.0067701973,0.056364022,0.056364022
