EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,MeanRew,SimRew-MeanRew,Time-MeanRew,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
1000.0,-40.609665,2,20,-63.008495,14.08964925083872,0.30793827276229857,98.95627641677856,20000,0.0,8.164211,0.5783651769161224,0.009118352,0.047700584,0.047700584
1000.0,-1.8743683,2,40,49.672684,27.217458540620246,0.30543992648124696,1743.873901605606,40000,0.0,7.813362,0.3090532422065735,0.008982442,0.055312112,0.055312112
1000.0,92.27771,2,61,374.48352,28.312058221999173,0.3084331432342529,3387.6402547359467,61000,0.0,7.4620423,0.4029157757759094,0.009058715,0.05532575,0.05532575
1000.0,184.24147,2,81,372.2684,20.54901065052034,0.3067868278026581,5066.49005484581,81000,0.0,7.1126385,0.8682166785001755,0.008652557,0.061704732,0.061704732
1000.0,312.13272,2,102,1027.1084,22.993658138497658,0.3091306776046753,6742.519536018372,102000,0.0,6.762815,0.842101201415062,0.008993537,0.058418363,0.058418363
1000.0,457.19403,2,122,1085.432,-6.104205555177978,0.3102866846084595,8439.285195350647,122000,0.0,6.413084,0.949691116809845,0.008794485,0.06700799,0.06700799
1000.0,636.5773,2,143,1110.5026,102.97913775978549,0.3122194902420044,10142.642909526825,143000,0.0,6.0638046,0.9156296253204346,0.00903472,0.064733885,0.064733885
1000.0,773.6989,2,163,1445.5983,50.91045944002019,0.30984246287345885,11856.440579414368,163000,0.0,5.714398,0.9638728871941566,0.008941909,0.06725399,0.06725399
1000.0,897.6722,2,184,1637.5007,-23.74041687157369,0.30975689549446106,13560.980513095856,184000,0.0,5.3643827,0.8067763447761536,0.008891051,0.061354958,0.061354958
1000.0,1018.379,2,204,2058.823,44.4822554820764,0.3117769072532654,15261.892568588257,204000,0.0,5.015222,0.9531186036765575,0.008928401,0.06155598,0.06155598
1000.0,1076.6277,2,225,1734.2943,39.85138677731437,0.31092372756004333,16968.020528793335,225000,0.0,4.66572,0.802151694893837,0.008940338,0.061919857,0.061919857
1000.0,1180.3274,2,245,780.999,243.2088919908781,0.31054042282104494,18676.12068414688,245000,0.0,4.316898,0.971038157120347,0.0088973325,0.06444942,0.06444942
1000.0,1351.0266,2,266,2181.0168,110.07518938870481,0.3122654625415802,20384.599978923798,266000,0.0,3.9674563,0.947891753166914,0.008692225,0.058921933,0.058921933
1000.0,1428.3151,2,286,2030.8357,175.49078592697475,0.3099894820690155,22102.63080763817,286000,0.0,3.6184525,0.9535482712090015,0.008873655,0.06265944,0.06265944
1000.0,1424.1309,2,307,1580.6633,174.42367369632203,0.31344618945121766,23808.261265277863,307000,0.0,3.2694654,0.9594751931726933,0.009026431,0.06107665,0.06107665
1000.0,1495.0459,2,327,1844.9506,179.39548838347363,0.313301557302475,25529.831717014313,327000,0.0,2.9209998,0.9418741650879383,0.008866538,0.059175905,0.059175905
1000.0,1520.8835,2,348,1784.0521,267.1959671653846,0.3115435908317566,27252.5951628685,348000,0.0,2.5723684,0.902792289853096,0.00882482,0.07279821,0.07279821
1000.0,1550.9177,2,368,1136.028,300.54517437663924,0.311287774848938,28971.436017036438,368000,0.0,2.2241158,0.9530104994773865,0.008965319,0.055193163,0.055193163
1000.0,1760.9368,2,389,1786.3363,249.68093630095058,0.31375533838272096,30676.700854063034,389000,0.0,1.8749938,0.9360399469733238,0.009037058,0.057940684,0.057940684
1000.0,1801.4469,2,409,536.0839,-192.98035005534874,0.312381958770752,32402.872435331345,409000,0.0,1.526734,0.9193463176488876,0.009036891,0.0569662,0.0569662
