# {"t_start": 1562796268.3926253, "env_id": "HalfCheetah-v2"} 
r,l,t
-189.275063,1000,2.128147
-47.323979,1000,2.585523
1.658155,1000,3.935125
-7.685382,1000,4.387586
-5.900211,1000,5.168733
-120.41304,1000,5.615066
-94.075793,1000,6.409793
27.055037,1000,6.850509
-84.780361,1000,7.633084
107.144353,1000,8.074994
-15.186224,1000,8.839573
80.750897,1000,9.290861
42.829395,1000,10.065043
-3.105218,1000,10.50589
-47.30572,1000,11.26287
-64.114405,1000,11.710732
-5.752385,1000,12.498412
-136.441128,1000,12.94621
18.108253,1000,13.724703
-137.372046,1000,14.165924
47.125168,1000,14.957731
-96.072725,1000,15.40967
-6.263465,1000,16.191094
-117.607569,1000,16.636074
-40.272149,1000,17.42335
8.984431,1000,17.872184
28.570427,1000,18.618325
12.148371,1000,19.055295
18.168893,1000,19.835733
30.568548,1000,20.282392
51.718497,1000,21.061993
53.62441,1000,21.498871
-108.592284,1000,22.281645
23.722284,1000,22.727218
-19.333321,1000,23.505883
-23.108986,1000,23.947532
-31.217295,1000,24.738203
91.534303,1000,25.169562
45.530449,1000,25.970925
4.169898,1000,26.428039
-18.910319,1000,27.27545
-56.878197,1000,27.721116
71.347904,1000,28.153009
12.161897,1000,28.935872
-24.439862,1000,29.356957
98.105367,1000,30.174777
-29.91859,1000,30.626199
20.882208,1000,31.402056
15.387035,1000,31.848343
71.602954,1000,32.625398
94.72804,1000,33.039139
91.227925,1000,33.825214
-1.809417,1000,34.279871
90.612757,1000,35.123799
60.27723,1000,35.571563
8.680728,1000,36.369202
125.071636,1000,36.8184
66.310913,1000,37.629351
25.878463,1000,38.071301
66.104371,1000,38.865433
135.235689,1000,39.310901
21.516452,1000,40.095386
68.959595,1000,40.539664
44.657215,1000,41.329408
102.210801,1000,41.782309
-70.708603,1000,42.566008
90.867865,1000,43.00171
-29.015739,1000,43.78226
106.882452,1000,44.228854
39.416548,1000,45.022183
159.403852,1000,45.469515
113.42477,1000,46.253972
121.751736,1000,46.672951
93.66298,1000,47.483852
113.670621,1000,47.93354
93.83577,1000,48.707047
208.762393,1000,49.1548
126.377846,1000,49.956253
129.804715,1000,50.408894
99.354238,1000,51.215265
128.549353,1000,51.660596
133.506619,1000,52.459839
94.228852,1000,52.908531
-41.211381,1000,53.708653
105.2267,1000,54.127227
181.687785,1000,54.584027
186.756872,1000,55.396801
205.39013,1000,55.843592
158.312138,1000,56.646429
168.145672,1000,57.097498
153.751139,1000,57.884587
158.093298,1000,58.329542
138.655405,1000,59.112936
163.505363,1000,59.558331
112.331639,1000,60.33963
150.107095,1000,60.79361
250.530283,1000,61.568051
199.269074,1000,62.010347
264.023337,1000,62.803337
206.256385,1000,63.247443
202.246094,1000,64.033138
279.439206,1000,64.477324
247.695152,1000,65.273844
210.33777,1000,65.72144
222.40079,1000,66.500129
247.428943,1000,66.943614
197.28049,1000,67.740167
294.589877,1000,68.173007
265.701311,1000,68.946817
205.650954,1000,69.395861
252.829723,1000,70.237831
258.186162,1000,70.697908
295.562925,1000,71.490025
230.253042,1000,71.933619
285.984849,1000,72.738989
290.241347,1000,73.196351
254.443895,1000,74.023621
213.913092,1000,74.455535
289.274455,1000,75.240444
257.206322,1000,75.686212
174.358862,1000,76.469847
249.810974,1000,76.91934
296.087847,1000,77.707548
296.930812,1000,78.154257
288.505713,1000,78.946549
273.66468,1000,79.389036
280.625055,1000,80.205292
207.691634,1000,80.657151
223.010893,1000,81.106233
328.554408,1000,81.921496
295.834649,1000,82.373394
282.226084,1000,83.156182
304.212425,1000,83.601633
269.817464,1000,84.386451
308.755731,1000,84.840595
339.643899,1000,85.660463
343.506328,1000,86.111675
305.404726,1000,86.88341
300.602821,1000,87.326988
294.529515,1000,88.187086
374.791498,1000,88.637245
353.506865,1000,89.411278
245.070722,1000,89.857502
355.496801,1000,90.667827
379.067827,1000,91.11506
385.250756,1000,91.926422
360.255486,1000,92.383379
426.922983,1000,93.17847
378.600488,1000,93.624956
378.618811,1000,94.487601
388.80068,1000,94.944104
-107.408883,1000,95.771787
434.076115,1000,96.217364
429.285561,1000,96.995896
394.353199,1000,97.439693
358.619459,1000,98.242295
379.025598,1000,98.691743
361.50798,1000,99.55241
434.624665,1000,99.999518
363.906177,1000,100.797271
486.367014,1000,101.24834
479.79696,1000,102.051061
417.963936,1000,102.493482
402.027693,1000,103.295384
436.001723,1000,103.739258
472.110831,1000,104.545913
414.982508,1000,104.992406
439.412337,1000,105.789315
433.697997,1000,106.22673
496.590918,1000,107.035932
515.727693,1000,107.493063
493.913613,1000,107.940865
554.761239,1000,108.761047
525.880061,1000,109.211758
559.132659,1000,109.982744
506.212708,1000,110.435898
537.901078,1000,111.254022
512.310317,1000,111.710054
398.919074,1000,112.48297
499.138675,1000,112.937838
485.551978,1000,113.696576
533.057574,1000,114.146276
493.149795,1000,114.906591
506.629321,1000,115.354061
553.327184,1000,116.141608
435.302367,1000,116.595859
597.635828,1000,117.403546
526.313623,1000,117.847853
517.146739,1000,118.625898
612.195804,1000,119.068387
673.664641,1000,119.858406
600.066025,1000,120.300497
552.267306,1000,121.107557
651.573824,1000,121.560237
524.931585,1000,122.353463
541.697129,1000,122.777996
634.511257,1000,123.564495
606.741782,1000,124.009811
624.994387,1000,124.796467
125.331618,1000,125.254829
551.067222,1000,126.042614
464.987326,1000,126.492555
613.043799,1000,127.280457
692.223793,1000,127.723661
649.525811,1000,128.501724
512.132914,1000,128.941565
694.413079,1000,129.731858
627.585337,1000,130.180378
629.660509,1000,130.998551
766.029322,1000,131.447895
689.786361,1000,132.260491
683.763979,1000,132.713765
721.181694,1000,133.511848
725.108726,1000,133.96014
-5.644954,1000,134.422883
701.594736,1000,135.210487
694.535959,1000,135.660642
644.855199,1000,136.467678
762.43902,1000,136.922306
709.256612,1000,137.714612
612.376176,1000,138.159102
771.019217,1000,138.950953
751.251098,1000,139.390218
717.073592,1000,140.180745
765.746537,1000,140.620994
790.190853,1000,141.425432
726.878259,1000,141.869024
715.109629,1000,142.648577
807.768561,1000,143.062729
126.541512,1000,143.854851
743.251924,1000,144.293043
820.752351,1000,145.106235
694.725515,1000,145.537328
801.838278,1000,146.356149
753.351446,1000,146.797893
789.964907,1000,147.583949
804.864635,1000,148.022057
747.635014,1000,148.809102
827.600923,1000,149.257698
721.819226,1000,150.063436
750.282388,1000,150.515799
816.270469,1000,151.373945
822.054588,1000,151.814662
803.298932,1000,152.623102
850.699949,1000,153.068922
736.651984,1000,153.846073
751.584052,1000,154.292756
836.510657,1000,155.078278
812.902721,1000,155.524961
804.949204,1000,156.394233
848.731846,1000,156.840367
780.162791,1000,157.622024
861.041905,1000,158.072729
852.560347,1000,158.876379
870.876166,1000,159.317628
875.609939,1000,159.762461
876.699046,1000,160.57326
955.567659,1000,161.000838
810.904914,1000,161.855572
859.578201,1000,162.305716
854.004719,1000,163.14855
894.465198,1000,163.592906
517.312534,1000,164.377814
941.244616,1000,164.815649
883.50592,1000,165.636453
941.726344,1000,166.078728
911.573242,1000,166.864763
902.570106,1000,167.2991
862.965105,1000,168.084287
932.407151,1000,168.530409
906.467373,1000,169.307472
843.005662,1000,169.748894
905.672094,1000,170.530568
892.919725,1000,170.969563
915.438126,1000,171.757391
873.64978,1000,172.210763
838.641768,1000,173.011361
899.30372,1000,173.451128
847.350447,1000,174.272213
946.814706,1000,174.719035
843.030039,1000,175.538341
809.204567,1000,175.973571
918.734356,1000,176.772527
898.123475,1000,177.219167
780.628626,1000,178.046499
855.24488,1000,178.501777
981.447816,1000,179.300766
872.726294,1000,179.747266
942.102727,1000,180.544738
977.846941,1000,180.985672
927.395538,1000,181.807956
991.885951,1000,182.249312
934.1916,1000,183.031444
1017.219631,1000,183.477268
993.066815,1000,184.263043
969.81792,1000,184.718723
966.544649,1000,185.505886
982.172121,1000,185.953815
985.573283,1000,186.41013
946.912126,1000,187.207258
1028.446287,1000,187.647089
972.07232,1000,188.439305
988.861416,1000,188.879788
1020.346231,1000,189.676655
953.55219,1000,190.119057
942.063845,1000,190.924725
999.162028,1000,191.342161
793.847809,1000,192.128121
1021.83936,1000,192.57322
1031.126795,1000,193.340114
1034.202268,1000,193.782819
893.386981,1000,194.603549
1042.272821,1000,195.047738
1014.759791,1000,195.860464
995.506122,1000,196.307859
796.177297,1000,197.089942
