AverageReturn,MeanRew,SimRew-MeanRew,Time-MeanRew,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
-20.56058755,35.54314,-0.53650945,0.0012086770534515381,1000.0,-20.56058755,118,0.010309711,0.14799805,8.385351,-0.024323959,12.0289,0.2072073221206665,10,20480,59.25387956784107,20480
42.259571750000006,162.2313,1.0359663,0.0010941052436828614,1000.0,42.259571750000006,518,0.010608423,0.15395507,8.106297,-0.02642228,12.44673,0.3249291181564331,20,40960,127.72174114594236,40960
188.00899207499998,418.33945,3.399614,0.0012654352188110351,1000.0,188.00899207499998,449,0.011917905,0.17719726,7.8166323,-0.030865822,22.294708,0.2810075283050537,30,61440,208.78239887580276,61440
382.98652112499997,706.4905,7.4848766,0.0014027629375457764,1000.0,382.98652112499997,427,0.012638411,0.18393555,7.33873,-0.03440034,54.85201,0.3193216323852539,40,81920,298.01668025390245,81920
613.22757995,766.8168,11.3622875,0.0012658944606781005,1000.0,613.22757995,500,0.010590129,0.15117188,6.9567046,-0.029968265,82.99074,0.4125198721885681,50,102400,402.01582123478875,102400
817.88237865,1066.0164,17.929323,0.0013006284236907958,1000.0,817.88237865,442,0.014447172,0.20288086,6.6526084,-0.033664323,130.78888,0.2548089027404785,60,122880,514.4969687808771,122880
1020.1215614500001,1205.9092,24.503315,0.0012077832698822021,1000.0,1020.1215614500001,444,0.014761065,0.21157226,6.340523,-0.031582322,139.89407,0.17577755451202393,70,143360,628.7741492139176,143360
1154.2098025999999,1257.0107,32.206936,0.0014932164192199707,1000.0,1154.2098025999999,468,0.014210233,0.19599609,6.028552,-0.021802163,138.94081,0.271964430809021,80,163840,739.0569169218652,163840
1221.1142404500001,1153.3223,38.625256,0.0011721314430236816,1000.0,1221.1142404500001,438,0.014989026,0.2034668,5.741768,-0.026570285,119.897705,0.5585252046585083,90,184320,852.8729784379248,184320
1258.252028725,1223.2126,45.390392,0.0013722479820251466,1000.0,1258.252028725,459,0.017377535,0.23378906,5.6281805,-0.02341825,126.41991,0.6623803675174713,100,204800,965.7398671209812,204800
1304.110558525,1402.9308,55.091274,0.0009456953525543213,1000.0,1304.110558525,522,0.022821635,0.27294922,5.507389,-0.018701775,101.551994,0.5816401243209839,110,225280,1078.377043704968,225280
1369.2233091000003,1445.7363,64.19928,0.001187305736541748,1000.0,1369.2233091000003,452,0.018258428,0.24389648,5.2645864,-0.010882583,90.45825,0.673706978559494,120,245760,1188.650691878982,245760
1427.03809375,1471.901,72.85462,0.0010861024856567384,1000.0,1427.03809375,536,0.03169418,0.34243163,5.1500206,-0.008888705,89.003,0.7431120574474335,130,266240,1301.0715034389868,266240
1443.1924555,1502.1862,80.1729,0.001245497465133667,1000.0,1443.1924555,508,0.01725581,0.2130371,5.063408,-0.016254468,83.49716,0.6003992855548859,140,286720,1407.699342932785,286720
1472.97553715,1471.2354,89.81355,0.0013163237094879151,1000.0,1472.97553715,442,0.020794766,0.2727539,4.953279,-0.018698417,66.9549,0.7368848323822021,150,307200,1523.724921005778,307200
1480.96135345,1484.1052,96.07665,0.001177155637741089,1000.0,1480.96135345,488,0.021282481,0.2713379,4.803648,-0.011810704,50.46677,0.7414458394050598,160,327680,1641.4183135218918,327680
1481.67536915,1517.8171,102.081924,0.0012118438243865967,1000.0,1481.67536915,453,0.020079495,0.24985352,4.8007207,-0.012383005,46.59543,0.8906541988253593,170,348160,1754.7987047168426,348160
1507.5322503749999,1439.8268,107.4727,0.0011622965335845946,1000.0,1507.5322503749999,481,0.031751737,0.34746093,4.785348,-0.008797271,43.755516,0.7145436108112335,180,368640,1868.2652564668097,368640
1539.817048075,1478.1499,113.6856,0.001142420482635498,1000.0,1539.817048075,432,0.019462284,0.2529785,4.711107,-0.009604108,33.99182,0.9125803336501122,190,389120,1983.3101773068774,389120
1539.03308245,1567.9608,114.97449,0.0011054203510284424,1000.0,1539.03308245,412,0.013767445,0.18149415,4.699124,-0.017126685,37.192577,0.8780166879296303,200,409600,2097.2623270158656,409600
1549.82748465,1584.9724,118.09933,0.0011024313926696777,1000.0,1549.82748465,501,0.021913067,0.27353516,4.5826387,-0.010059941,30.066296,0.9329292178153992,210,430080,2209.3799789778423,430080
1589.27287235,1616.8217,120.70894,0.0009039999961853027,1000.0,1589.27287235,556,0.032875083,0.3409668,4.4769187,-0.015915789,21.19711,0.96223184466362,220,450560,2317.4502865429968,450560
1581.0109846,1576.7668,123.1058,0.001214612054824829,1000.0,1581.0109846,405,0.03163417,0.33867186,4.42472,-0.00888534,27.232336,0.9219137951731682,230,471040,2429.11500944593,471040
1582.7626797,1627.3507,125.431274,0.0010042861461639404,1000.0,1582.7626797,479,0.024068922,0.27163085,4.3473177,-0.016719293,28.389755,0.9184793829917908,240,491520,2541.4295606177766,491520
1601.3888471250002,1555.6677,131.58093,0.0014315003871917724,1000.0,1601.3888471250002,451,0.041739948,0.39921874,4.179719,-0.01865834,33.074383,0.7915869951248169,250,512000,2654.0992348918226,512000
1605.690320375,1590.5114,130.50595,0.001008319902420044,1000.0,1605.690320375,545,0.021437954,0.26308593,4.1272,-0.024442539,20.913073,0.9348656162619591,260,532480,2764.9179781998973,532480
1600.82922225,1593.1423,134.6763,0.0010825447082519531,1000.0,1600.82922225,517,0.020141404,0.25341797,4.0356307,-0.01821066,26.399124,0.9177501201629639,270,552960,2874.0519835909363,552960
