AverageReturn,Entropy,EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SilSamples,TimeElapsed,TimestepsSoFar,entloss,ev_tdlam_before,meankl,optimgain,surrgain
104.66538,8.372409,1000.0,104.66538,2,77,272.0,52.84193229675293,77000,0.0,0.2689403295516968,0.008794237,0.055464454,0.055464454
108.243225,8.368623,1000.0,108.243225,2,79,297.0,54.22022771835327,79000,0.0,0.2501259446144104,0.008614436,0.066353984,0.066353984
109.69658,8.364652,1000.0,109.69658,2,81,276.0,55.58436727523804,81000,0.0,0.5566127598285675,0.009261178,0.06368624,0.06368624
117.775856,8.360838,1000.0,117.775856,2,83,213.0,57.06278371810913,83000,0.0,0.4321977496147156,0.00888278,0.062003978,0.062003978
130.52017,8.356838,1000.0,130.52017,3,86,244.0,58.50285339355469,86000,0.0,0.315886914730072,0.008703893,0.0622651,0.0622651
139.13281,8.353055,1000.0,139.13281,2,88,233.0,59.89392280578613,88000,0.0,0.5664333701133728,0.008875724,0.05837964,0.05837964
146.57689,8.349336,1000.0,146.57689,2,90,228.0,61.26866698265076,90000,0.0,0.24164628982543945,0.00882986,0.06169817,0.06169817
148.126,8.345549,1000.0,148.126,2,92,248.0,62.6354603767395,92000,0.0,0.5822676420211792,0.008864172,0.060926788,0.060926788
153.63724,8.341791,1000.0,153.63724,2,94,244.0,63.96457242965698,94000,0.0,0.5804088413715363,0.008891804,0.066478565,0.066478565
155.65596,8.338377,1000.0,155.65596,2,96,235.0,65.32634997367859,96000,0.0,0.7856204956769943,0.008953638,0.06386904,0.06386904
161.09195,8.334623,1000.0,161.09195,2,98,210.0,66.7179844379425,98000,0.0,0.6822716295719147,0.008790262,0.06203961,0.06203961
170.54277,8.330559,1000.0,170.54277,2,100,209.0,68.08541417121887,100000,0.0,0.6777158081531525,0.00901974,0.06430631,0.06430631
178.23961,8.326816,1000.0,178.23961,2,102,250.0,69.44872093200684,102000,0.0,0.5599017441272736,0.008784458,0.066279575,0.066279575
187.47609,8.323459,1000.0,187.47609,2,104,243.0,70.86170697212219,104000,0.0,0.5553456544876099,0.009046717,0.06508775,0.06508775
190.07675,8.319603,1000.0,190.07675,2,106,265.0,72.23646211624146,106000,0.0,0.707065999507904,0.008731735,0.0639049,0.0639049
189.07324,8.315802,1000.0,189.07324,2,108,253.0,73.55756902694702,108000,0.0,0.8698394447565079,0.008878592,0.06972456,0.06972456
185.66768,8.312041,1000.0,185.66768,2,110,214.0,74.95978879928589,110000,0.0,0.8879610821604729,0.009020073,0.06939791,0.06939791
190.34056,8.308342,1000.0,190.34056,2,112,188.0,76.33656740188599,112000,0.0,0.8428197503089905,0.008908498,0.064037405,0.064037405
199.33272,8.304664,1000.0,199.33272,2,114,180.0,77.68974137306213,114000,0.0,0.6925040483474731,0.008846724,0.063698076,0.063698076
211.51042,8.300809,1000.0,211.51042,2,116,169.0,79.04883027076721,116000,0.0,0.7509023398160934,0.008728445,0.06497597,0.06497597
219.30537,8.296965,1000.0,219.30537,2,118,163.0,80.4288010597229,118000,0.0,0.914137177169323,0.00883184,0.065687075,0.065687075
236.98276,8.2936945,1000.0,236.98276,2,120,165.0,81.8077003955841,120000,0.0,0.8651300072669983,0.008921787,0.0642932,0.0642932
247.55835,8.289884,1000.0,247.55835,2,122,172.0,83.18672347068787,122000,0.0,0.7323582172393799,0.008949077,0.06568481,0.06568481
